"","name","micro","type"
"1","Kale, raw, scotch",808.891,"Leafy greens"
"2","Spinach, raw",788.737,"Leafy greens"
"3","Kale, raw",783.628,"Leafy greens"
"4","Spinach, with salt, drained, boiled, cooked",749.679,"Leafy greens"
"5","Spinach, without salt, drained, boiled, cooked",749.679,"Leafy greens"
"6","Chard, with salt, drained, boiled, cooked, swiss",728.757,"Leafy greens"
"7","Chard, without salt, drained, boiled, cooked, swiss",728.757,"Leafy greens"
"8","Arugula, raw",629.857,"Leafy greens"
"9","Spinach, unprepared, chopped or leaf, frozen",601.738,"Leafy greens"
"10","Spinach, drained solids, regular pack, canned",596.077,"Leafy greens"
"11","Spinach, with salt, drained, boiled, cooked, chopped or leaf, frozen",589.838,"Leafy greens"
"12","Spinach, without salt, drained, boiled, cooked, chopped or leaf, frozen",589.838,"Leafy greens"
"13","Chard, raw, swiss",559.345,"Leafy greens"
"14","Collards, with salt, drained, boiled, cooked, chopped, frozen",519.838,"Leafy greens"
"15","Collards, without salt, drained, boiled, cooked, chopped, frozen",519.838,"Leafy greens"
"16","Kale, unprepared, frozen",517.419,"Leafy greens"
"17","Collards, unprepared, chopped, frozen",511.756,"Leafy greens"
"18","Kale, with salt, drained, boiled, cooked, frozen",506.437,"Leafy greens"
"19","Kale, without salt, drained, boiled, cooked, frozen",506.437,"Leafy greens"
"20","Kale, with salt, drained, boiled, cooked, scotch",503.503,"Leafy greens"
"21","Kale, without salt, drained, boiled, cooked, scotch",503.503,"Leafy greens"
"22","Collards, raw",498.174,"Leafy greens"
"23","Spinach, solids and liquids, no salt added, canned",403.189,"Leafy greens"
"24","Spinach, solids and liquids, regular pack, canned",403.189,"Leafy greens"
"25","Kale, with salt, drained, boiled, cooked",347.472,"Leafy greens"
"26","Kale, without salt, drained, boiled, cooked",347.472,"Leafy greens"
"27","Lettuce, raw, cos or romaine",325.173,"Leafy greens"
"28","Lettuce, raw, butterhead (includes boston and bibb types)",320.435,"Leafy greens"
"29","Collards, with salt, drained, boiled, cooked",312.691,"Leafy greens"
"30","Collards, without salt, drained, boiled, cooked",312.691,"Leafy greens"
"31","Lettuce, raw, green leaf",273.139,"Leafy greens"
"32","Lettuce, raw, red leaf",261.431,"Leafy greens"
"33","Lettuce, raw, iceberg (includes crisphead types)",186.56,"Leafy greens"
"34","Seeds, partially defatted (glandless), cottonseed meal",4832.611,"Nuts and seeds"
"35","Seeds, partially defatted (glandless), cottonseed flour",4583.983,"Nuts and seeds"
"36","Seeds, low fat (glandless), cottonseed flour",4553.881,"Nuts and seeds"
"37","Seeds, dried, whole, sisymbrium sp. seeds",4084.732,"Nuts and seeds"
"38","Seeds, hulled, hemp seed",3637.15,"Nuts and seeds"
"39","Seeds, roasted (glandless), cottonseed kernels",2698.781,"Nuts and seeds"
"40","Seeds, dried, pumpkin and squash seed kernels",2694.706,"Nuts and seeds"
"41","Seeds, paste, sesame butter",2588.954,"Nuts and seeds"
"42","Seeds, with salt added, roasted, pumpkin and squash seed kernels",2577.835,"Nuts and seeds"
"43","Seeds, without salt, roasted, pumpkin and squash seed kernels",2577.835,"Nuts and seeds"
