raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1,2009,1,1,"Australian Grand Prix","2009-03-29","06:00:00","http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2,2009,2,2,"Malaysian Grand Prix","2009-04-05","09:00:00","http://en.wikipedia.org/wiki/2009_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
3,2009,3,17,"Chinese Grand Prix","2009-04-19","07:00:00","http://en.wikipedia.org/wiki/2009_Chinese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
4,2009,4,3,"Bahrain Grand Prix","2009-04-26","12:00:00","http://en.wikipedia.org/wiki/2009_Bahrain_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
5,2009,5,4,"Spanish Grand Prix","2009-05-10","12:00:00","http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
6,2009,6,6,"Monaco Grand Prix","2009-05-24","12:00:00","http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
7,2009,7,5,"Turkish Grand Prix","2009-06-07","12:00:00","http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
8,2009,8,9,"British Grand Prix","2009-06-21","12:00:00","http://en.wikipedia.org/wiki/2009_British_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
9,2009,9,20,"German Grand Prix","2009-07-12","12:00:00","http://en.wikipedia.org/wiki/2009_German_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
10,2009,10,11,"Hungarian Grand Prix","2009-07-26","12:00:00","http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
11,2009,11,12,"European Grand Prix","2009-08-23","12:00:00","http://en.wikipedia.org/wiki/2009_European_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
12,2009,12,13,"Belgian Grand Prix","2009-08-30","12:00:00","http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
13,2009,13,14,"Italian Grand Prix","2009-09-13","12:00:00","http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
14,2009,14,15,"Singapore Grand Prix","2009-09-27","12:00:00","http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
15,2009,15,22,"Japanese Grand Prix","2009-10-04","05:00:00","http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
16,2009,16,18,"Brazilian Grand Prix","2009-10-18","16:00:00","http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
17,2009,17,24,"Abu Dhabi Grand Prix","2009-11-01","11:00:00","http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
18,2008,1,1,"Australian Grand Prix","2008-03-16","04:30:00","http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
19,2008,2,2,"Malaysian Grand Prix","2008-03-23","07:00:00","http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
20,2008,3,3,"Bahrain Grand Prix","2008-04-06","11:30:00","http://en.wikipedia.org/wiki/2008_Bahrain_Grand_Prix",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
