"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.1536560058594","99.1971282958984","99.2399139404297","100","100","100","100","100","100","91.6603980031457","100","100","100","100","100","100","100","100","100","93.3562921509542","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9573016173253","19.9753646761679","21.576500005381","22.5292648277365","23.749531370048","23.4930127792651","25.1912206446574","26.8079371107551","25.9433160820416","26.1938952124019","27.4001102274899","28.9143483184985","31.6669278676995","31.695183470279","31.8592573426147","33.903514646918","38.8514438926569","40.1973318677545","43.0283322203821","44.3897728327672","46.2686205693928","48.1036086917626","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.44689083099365","9.29452705383301","14.1336164474487","18.9711647033691","23.8141822814941","28.6696720123291","33.5444183349609","38.4400024414063","42.4","48.2790069580078","42.7","43.2220189082037","69.1","68.0408782958984","89.5","71.5","97.7","97.7","93.4308776855469","97.7","97.7","97.7","",
"Africa Western and Central","AFW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5751303452682","32.6096921963953","33.6056679748691","32.6293222407454","32.461796679118","33.4586299235774","34.8104284660219","34.1379707503158","35.2326908128795","35.7229258751679","39.8245885835788","37.4930579595386","37.7921633219042","39.8188192606379","40.7643454681025","41.7411518658625","41.8710425405368","41.8393089883196","45.9110359521167","44.0536996258962","47.0519898009091","47.6474054675408","46.7589482276369","50.9031082335552","48.7876402420278","51.212862725193","51.1608170294888","51.7343879679826","54.2241873184273","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2388648986816","20","26.320255279541","27.3551368713379","28.3954849243164","29.4483089447021","30.5203876495361","37.5","38.49","33.8469772338867","34.980052947998","34.6","37.2594909667969","38.3981781005859","32","42","41.7850341796875","42.9062423706055","45.29","45.6338806152344","46.9554443359375","48.2238540649414","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","99.4308547973633","99.421989440918","99.4045791625977","99.385627746582","99.3721389770508","99.3711242675781","99.3893661499023","99.4284515380859","100","99.5544509887695","99.6442031860352","99.7186431884766","99.9","99.8903121948242","99.95","99.98","99.89","99.89","100","100","100","100","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.9643258346782","77.6235206960992","78.5214088297257","79.1123196438608","81.1088514888742","81.9362229180982","81.904018690261","82.8882187063161","82.8302877953228","83.5904598044664","85.8158684379698","84.1525012379927","83.8383594748195","84.7358382489694","87.4822309999527","87.7195690812728","87.4025016291348","89.3407047759842","88.832275926882","89.0538515925881","89.5390160628709","90.6627537412759","89.1769388289389","90.3528022912948","90.6350500075048","90.8456612947772","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.1548004150391","92.4921875","92.8294525146484","93.1660461425781","93.5012741088867","93.8344650268555","94.1649398803711","94.4920120239258","94.8150024414063","95.1331558227539","95.6804733276367","95.5110634674458","96.0960006713867","96.2979507446289","96.50537109375","96.7252655029297","96.9644088745117","97.2243957519531","97.5016021728516","97.7922058105469","98.82","99.0342864990234","99.143798828125","99.285774230957","100","99.6890335083008","99.8997421264648","100","99.9937362670898","100","100","100","",
