Country,GDP
Ireland,145196
Luxembourg,142490
Switzerland,87963
Norway,82655
San Marino,78926
Denmark,73386
Netherlands,72973
Iceland,69779
Austria,69502
Andorra,68998
Sweden,65842
Germany,66132
Belgium,65501
Finland,60897
Malta,61939
France,58828
United Kingdom,56471
Cyprus,54611
Italy,54216
Slovenia,52641
Czech Republic,50961
Spain,49448
Lithuania,49266
Estonia,46385
Poland,45343
Portugal,44707
Hungary,43907
Croatia,42531
Romania,41634
Slovakia,41515
Turkey,41412
Latvia,40256
Greece,39478
Russia,34837
Kazakhstan,32688
Bulgaria,32006
Montenegro,27761
Serbia,25432
Belarus,23447
Georgia,21922
North Macedonia,21111
Bosnia and Herzegovina,19604
Armenia,19489
Albania,19029
Moldova,16840
Kosovo,15620
Ukraine,13901
