year,january,february,march,april,may,june,july,august,september,october,november,december
2023,"116,6","118,4","116,1","114,7","113,0","111,5","110,8","110,1","108,2","106,6","106,5","106,5"
2022,"109,4","108,5","111,0","112,4","113,9","115,5","115,6","116,1","117,2","117,9","117,5","116,6"
2021,"102,6","102,4","103,2","104,3","104,7","104,4","105,0","105,5","105,9","106,8","107,8","108,6"
2020,"104,3","104,7","104,6","103,4","102,9","103,3","103,0","102,9","103,2","103,1","103,0","102,4"
2019,"100,7","101,2","101,7","102,2","102,4","102,6","102,9","102,9","102,6","102,5","102,6","103,4"
2018,"101,9","101,4","101,3","101,6","101,7","102,0","102,0","102,0","101,9","101,8","101,3","101,1"
2017,"101,7","102,2","102,0","102,0","101,9","101,5","101,7","101,8","102,2","102,1","102,5","102,1"
2016,"99,1","99,2","99,1","98,9","99,1","99,2","99,1","99,2","99,5","99,8","100,0","100,8"
2015,"98,6","98,4","98,5","98,9","99,1","99,2","99,3","99,4","99,2","99,3","99,4","99,5"
2014,"100,5","100,7","100,7","100,3","100,2","100,3","99,8","99,7","99,7","99,4","99,4","99,0"
2013,"101,7","101,3","101,0","100,8","100,5","100,2","101,1","101,1","101,0","100,8","100,6","100,7"
2012,"104,1","104,3","103,9","104,0","103,6","104,3","104,0","103,8","103,8","103,4","102,8","102,4"
2011,"103,6","103,6","104,3","104,5","105,0","104,2","104,1","104,3","103,9","104,3","104,8","104,6"
2010,"103,5","102,9","102,6","102,4","102,2","102,3","102,0","102,0","102,5","102,8","102,7","103,1"
2009,"102,8","103,3","103,6","104,0","103,6","103,5","103,6","103,7","103,4","103,1","103,3","103,5"
2008,"104,0","104,2","104,1","104,0","104,4","104,6","104,8","104,8","104,5","104,2","103,7","103,3"
2007,"101,6","101,9","102,5","102,3","102,3","102,6","102,3","101,5","102,3","103,0","103,6","104,0"
2006,"100,6","100,7","100,4","100,7","100,9","100,8","101,1","101,6","101,6","101,2","101,4","101,4"
2005,"103,7","103,6","103,4","103,0","102,5","101,4","101,3","101,6","101,8","101,6","101,0","100,7"
2004,"101,6","101,6","101,7","102,2","103,4","104,4","104,6","104,6","104,4","104,5","104,5","104,4"
2003,"100,5","100,5","100,6","100,3","100,4","100,8","100,8","100,7","100,9","101,3","101,6","101,7"
2002,"103,4","103,5","103,3","103,0","101,9","101,6","101,3","101,2","101,3","101,1","100,9","100,8"
2001,"107,4","106,6","106,2","106,6","106,9","106,2","105,2","105,1","104,3","104,0","103,6","103,6"
2000,"110,1","110,4","110,3","109,8","110,0","110,2","111,6","110,7","110,3","109,9","109,3","108,5"
1999,"106,9","105,6","106,2","106,3","106,4","106,5","106,3","107,2","108,0","108,7","109,2","109,8"
1998,"113,6","114,2","113,9","113,7","113,3","112,2","111,9","111,3","110,6","109,9","109,2","108,6"
1997,"117,8","117,3","116,6","115,3","114,6","115,3","114,9","114,5","113,6","113,1","113,2","113,2"
1996,"121,0","120,4","120,4","120,3","119,8","119,5","120,4","120,5","119,5","119,5","119,1","118,5"
1995,"132,3","133,6","133,1","132,4","132,3","130,3","127,6","125,7","124,2","122,4","122,0","121,6"
1994,"132,4","129,9","130,2","131,2","131,2","132,7","132,8","132,2","134,6","136,1","133,5","129,5"
1993,"137,5","139,7","139,7","138,1","135,8","134,3","134,8","134,4","131,0","129,8","133,0","137,6"
1992,"145,4","140,1","138,1","140,2","143,2","139,0","141,3","144,3","146,5","146,4","145,4","144,3"
1991,"194,9","180,0","181,8","171,0","167,8","172,4","168,3","167,6","167,1","164,8","162,7","160,4"
1990,"1107,6","1283,1","1232,8","1202,9","1176,5","1151,2","1094,0","848,5","658,0","456,0","385,9","349,3"
1989,"183,2","170,3","174,2","177,8","185,4","191,3","203,9","282,7","369,2","557,1","657,0","739,6"
1988,"128,4","147,6","153,2","153,6","154,7","156,1","159,4","160,9","163,8","165,9","168,5","173,9"
1987,"118,1","119,2","117,9","123,1","123,9","125,8","129,0","128,9","128,5","128,2","129,4","131,3"
1986,"117,1","117,8","118,0","119,2","120,5","118,2","114,4","115,2","116,3","117,9","117,5","117,1"
1985,"113,2","110,3","111,9","111,6","111,8","113,0","115,1","115,4","115,9","116,1","115,8","116,7"
1984,"115,6","113,4","112,4","111,4","112,1","112,9","113,7","112,5","112,8","112,6","113,5","114,2"
1983,"167,3","131,5","126,7","126,9","124,7","123,0","119,2","119,3","118,8","118,5","118,2","118,2"
1982,"153,2","206,4","210,7","204,1","208,4","211,9","213,3","214,9","208,5","201,0","197,9","175,0"
