date,cases,cartodb_id,province,weekinmonth,monthname,timeframe
2020-01-22,0,4,Alberta,4,January,January-W4
2020-01-22,0,6,British Columbia,4,January,January-W4
2020-01-22,0,10,Manitoba,4,January,January-W4
2020-01-22,0,7,New Brunswick,4,January,January-W4
2020-01-22,0,5,Newfoundland and Labrador,4,January,January-W4
2020-01-22,0,13,Northwest Territories,4,January,January-W4
2020-01-22,0,2,Nova Scotia,4,January,January-W4
2020-01-22,0,11,Ontario,4,January,January-W4
2020-01-22,0,8,Prince Edward Island,4,January,January-W4
2020-01-22,0,1,Quebec,4,January,January-W4
2020-01-22,0,3,Saskatchewan,4,January,January-W4
2020-01-22,0,9,Yukon,4,January,January-W4
2020-01-22,0,12,Nunavut,4,January,January-W4
2020-01-23,0,4,Alberta,4,January,January-W4
2020-01-23,0,6,British Columbia,4,January,January-W4
2020-01-23,0,10,Manitoba,4,January,January-W4
2020-01-23,0,7,New Brunswick,4,January,January-W4
2020-01-23,0,5,Newfoundland and Labrador,4,January,January-W4
2020-01-23,0,13,Northwest Territories,4,January,January-W4
2020-01-23,0,2,Nova Scotia,4,January,January-W4
2020-01-23,0,11,Ontario,4,January,January-W4
2020-01-23,0,8,Prince Edward Island,4,January,January-W4
2020-01-23,0,1,Quebec,4,January,January-W4
2020-01-23,0,3,Saskatchewan,4,January,January-W4
2020-01-23,0,9,Yukon,4,January,January-W4
2020-01-23,0,12,Nunavut,4,January,January-W4
2020-01-24,0,4,Alberta,4,January,January-W4
2020-01-24,0,6,British Columbia,4,January,January-W4
2020-01-24,0,10,Manitoba,4,January,January-W4
2020-01-24,0,7,New Brunswick,4,January,January-W4
2020-01-24,0,5,Newfoundland and Labrador,4,January,January-W4
2020-01-24,0,13,Northwest Territories,4,January,January-W4
2020-01-24,0,2,Nova Scotia,4,January,January-W4
2020-01-24,0,11,Ontario,4,January,January-W4
2020-01-24,0,8,Prince Edward Island,4,January,January-W4
2020-01-24,0,1,Quebec,4,January,January-W4
2020-01-24,0,3,Saskatchewan,4,January,January-W4
2020-01-24,0,9,Yukon,4,January,January-W4
2020-01-24,0,12,Nunavut,4,January,January-W4
2020-01-25,0,4,Alberta,4,January,January-W4
