"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37928208","","","","0"
"2020-04","Canada","2016A000011124","Persons","249","units","0","v1","1","38006941","","","","0"
"2020-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38028638","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528231","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527733","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526884","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157494","","","","0"
"2020-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158401","","","","0"
"2020-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159193","","","","0"
"2020-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","984130","","","","0"
"2020-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","986204","","","","0"
"2020-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","989168","","","","0"
"2020-01","New Brunswick","2016A000213","Persons","249","units","0","v10","5","781054","","","","0"
"2020-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","782512","","","","0"
"2020-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","783432","","","","0"
"2020-01","Quebec","2016A000224","Persons","249","units","0","v11","6","8537376","","","","0"
"2020-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8550900","","","","0"
"2020-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8551095","","","","0"
"2020-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14718155","","","","0"
"2020-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14752374","","","","0"
"2020-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14761811","","","","0"
"2020-01","Manitoba","2016A000246","Persons","249","units","0","v13","8","1377283","","","","0"
"2020-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1379280","","","","0"
"2020-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1380132","","","","0"
"2020-01","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1169426","","","","0"
"2020-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1169038","","","","0"
"2020-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1167386","","","","0"
"2020-01","Alberta","2016A000248","Persons","249","units","0","v15","10","4392958","","","","0"
"2020-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4405455","","","","0"
"2020-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4407495","","","","0"
"2020-01","British Columbia","2016A000259","Persons","249","units","0","v3","11","5157053","","","","0"
"2020-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","5169535","","","","0"
"2020-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","5176101","","","","0"
"2020-01","Yukon","2016A000260","Persons","249","units","0","v4","12","41505","","","","0"
"2020-04","Yukon","2016A000260","Persons","249","units","0","v4","12","41807","","","","0"
"2020-07","Yukon","2016A000260","Persons","249","units","0","v4","12","41958","","","","0"
"2020-01","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44533","","","","0"
"2020-04","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44565","","","","0"
"2020-07","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","44504","","","","0"
"2020-01","Nunavut","2016A000262","Persons","249","units","0","v7","15","39010","","","","0"
"2020-04","Nunavut","2016A000262","Persons","249","units","0","v7","15","39137","","","","0"
"2020-07","Nunavut","2016A000262","Persons","249","units","0","v7","15","39479","","","","0"


