Date,Parties,Seats
Election 2019,Centre-right EPP,182
Jun-19,Centre-right EPP,167
Jul-19,Centre-right EPP,168
Aug-19,Centre-right EPP,166
Sep-19,Centre-right EPP,170
Oct-19,Centre-right EPP,175
Nov-19,Centre-right EPP,176
Dec-19,Centre-right EPP,177
Jan-20,Centre-right EPP,182
Feb-20,Centre-right EPP,184
Marc-20,Centre-right EPP,188
Apr-20,Centre-right EPP,193
May-20,Centre-right EPP,197
Jun-20,Centre-right EPP,198
Jul-20,Centre-right EPP,198
Aug-20,Centre-right EPP,196
Sep-20,Centre-right EPP,195
Oct-20,Centre-right EPP,197
Nov-20,Centre-right EPP,195
Dec-20,Centre-right EPP,190
Jan-21,Centre-right EPP,187
Feb-21,Centre-right EPP,180
Marc-21,Centre-right EPP,159
Apr-21,Centre-right EPP,158
May-21,Centre-right EPP,155
Jun-21,Centre-right EPP,156
Jul-21,Centre-right EPP,159
Aug-21,Centre-right EPP,157
Sep-21,Centre-right EPP,156
Oct-21,Centre-right EPP,151
Nov-21,Centre-right EPP,146
Dec-21,Centre-right EPP,158
Jan-22,Centre-right EPP,156
Feb-22,Centre-right EPP,155
Marc-22,Centre-right EPP,151
Apr-22,Centre-right EPP,152
May-22,Centre-right EPP,155
Jun-22,Centre-right EPP,160
Jul-22,Centre-right EPP,162
Aug-22,Centre-right EPP,161
Sep-22,Centre-right EPP,163
Oct-22,Centre-right EPP,162
Nov-22,Centre-right EPP,158
Dec-22,Centre-right EPP,160
Jan-23,Centre-right EPP,159
Feb-23,Centre-right EPP,163
Marc-23,Centre-right EPP,162
Apr-23,Centre-right EPP,163
May-23,Centre-right EPP,161
Jun-23,Centre-right EPP,161
Jul-23,Centre-right EPP,157
Aug-23,Centre-right EPP,160
Sep-23,Centre-right EPP,165
Oct-23,Centre-right EPP,173
Nov-23,Centre-right EPP,175
Election 2019,Centre-left S&D,154
Jun-19,Centre-left S&D,145
Jul-19,Centre-left S&D,153
Aug-19,Centre-left S&D,154
Sep-19,Centre-left S&D,151
Oct-19,Centre-left S&D,151
Nov-19,Centre-left S&D,157
Dec-19,Centre-left S&D,153
Jan-20,Centre-left S&D,130
Feb-20,Centre-left S&D,133
Marc-20,Centre-left S&D,135
Apr-20,Centre-left S&D,140
May-20,Centre-left S&D,135
Jun-20,Centre-left S&D,133
Jul-20,Centre-left S&D,134
Aug-20,Centre-left S&D,134
Sep-20,Centre-left S&D,136
Oct-20,Centre-left S&D,136
Nov-20,Centre-left S&D,136
Dec-20,Centre-left S&D,138
Jan-21,Centre-left S&D,136
Feb-21,Centre-left S&D,145
Marc-21,Centre-left S&D,151
Apr-21,Centre-left S&D,144
May-21,Centre-left S&D,146
Jun-21,Centre-left S&D,144
Jul-21,Centre-left S&D,144
Aug-21,Centre-left S&D,147
Sep-21,Centre-left S&D,154
Oct-21,Centre-left S&D,155
Nov-21,Centre-left S&D,155
Dec-21,Centre-left S&D,152
Jan-22,Centre-left S&D,150
Feb-22,Centre-left S&D,149
Marc-22,Centre-left S&D,148
Apr-22,Centre-left S&D,150
May-22,Centre-left S&D,147
Jun-22,Centre-left S&D,144
Jul-22,Centre-left S&D,139
Aug-22,Centre-left S&D,138
Sep-22,Centre-left S&D,136
Oct-22,Centre-left S&D,135
Nov-22,Centre-left S&D,142
Dec-22,Centre-left S&D,143
Jan-23,Centre-left S&D,139
Feb-23,Centre-left S&D,145
Marc-23,Centre-left S&D,143
Apr-23,Centre-left S&D,141
May-23,Centre-left S&D,144
Jun-23,Centre-left S&D,142
Jul-23,Centre-left S&D,143
Aug-23,Centre-left S&D,146
Sep-23,Centre-left S&D,144
Oct-23,Centre-left S&D,139
Nov-23,Centre-left S&D,142
Election 2019,National-consevrative ECR,62
Jun-19,National-consevrative ECR,64
Jul-19,National-consevrative ECR,85
Aug-19,National-consevrative ECR,89
Sep-19,National-consevrative ECR,87
Oct-19,National-consevrative ECR,92
Nov-19,National-consevrative ECR,95
Dec-19,National-consevrative ECR,103
Jan-20,National-consevrative ECR,70
Feb-20,National-consevrative ECR,68
Marc-20,National-consevrative ECR,72
Apr-20,National-consevrative ECR,72
May-20,National-consevrative ECR,70
Jun-20,National-consevrative ECR,71
Jul-20,National-consevrative ECR,70
Aug-20,National-consevrative ECR,71
Sep-20,National-consevrative ECR,71
Oct-20,National-consevrative ECR,70
Nov-20,National-consevrative ECR,68
Dec-20,National-consevrative ECR,73
Jan-21,National-consevrative ECR,75
Feb-21,National-consevrative ECR,75
Marc-21,National-consevrative ECR,74
Apr-21,National-consevrative ECR,75
May-21,National-consevrative ECR,76
Jun-21,National-consevrative ECR,75
Jul-21,National-consevrative ECR,76
Aug-21,National-consevrative ECR,76
Sep-21,National-consevrative ECR,78
Oct-21,National-consevrative ECR,81
Nov-21,National-consevrative ECR,81
Dec-21,National-consevrative ECR,78
Jan-22,National-consevrative ECR,77
Feb-22,National-consevrative ECR,81
Marc-22,National-consevrative ECR,82
Apr-22,National-consevrative ECR,81
May-22,National-consevrative ECR,83
Jun-22,National-consevrative ECR,81
Jul-22,National-consevrative ECR,79
Aug-22,National-consevrative ECR,80
Sep-22,National-consevrative ECR,82
Oct-22,National-consevrative ECR,81
Nov-22,National-consevrative ECR,84
Dec-22,National-consevrative ECR,84
Jan-23,National-consevrative ECR,84
Feb-23,National-consevrative ECR,81
Marc-23,National-consevrative ECR,83
Apr-23,National-consevrative ECR,85
May-23,National-consevrative ECR,82
Jun-23,National-consevrative ECR,83
Jul-23,National-consevrative ECR,82
Aug-23,National-consevrative ECR,82
Sep-23,National-consevrative ECR,86
Oct-23,National-consevrative ECR,80
Nov-23,National-consevrative ECR,83
Election 2019,Liberal RE,108
Jun-19,Liberal RE,119
Jul-19,Liberal RE,117
Aug-19,Liberal RE,116
Sep-19,Liberal RE,118
Oct-19,Liberal RE,115
Nov-19,Liberal RE,107
Dec-19,Liberal RE,103
Jan-20,Liberal RE,101
Feb-20,Liberal RE,99
Marc-20,Liberal RE,92
Apr-20,Liberal RE,94
May-20,Liberal RE,98
Jun-20,Liberal RE,97
Jul-20,Liberal RE,97
Aug-20,Liberal RE,96
Sep-20,Liberal RE,95
Oct-20,Liberal RE,93
Nov-20,Liberal RE,95
Dec-20,Liberal RE,97
Jan-21,Liberal RE,94
Feb-21,Liberal RE,92
Marc-21,Liberal RE,93
Apr-21,Liberal RE,93
May-21,Liberal RE,92
Jun-21,Liberal RE,94
Jul-21,Liberal RE,94
Aug-21,Liberal RE,92
Sep-21,Liberal RE,94
Oct-21,Liberal RE,102
Nov-21,Liberal RE,103
Dec-21,Liberal RE,99
Jan-22,Liberal RE,101
Feb-22,Liberal RE,99
Marc-22,Liberal RE,104
Apr-22,Liberal RE,97
May-22,Liberal RE,97
Jun-22,Liberal RE,100
Jul-22,Liberal RE,105
Aug-22,Liberal RE,105
Sep-22,Liberal RE,105
Oct-22,Liberal RE,106
Nov-22,Liberal RE,100
Dec-22,Liberal RE,99
Jan-23,Liberal RE,98
Feb-23,Liberal RE,99
Marc-23,Liberal RE,98
Apr-23,Liberal RE,89
May-23,Liberal RE,90
Jun-23,Liberal RE,87
Jul-23,Liberal RE,90
Aug-23,Liberal RE,89
Sep-23,Liberal RE,90
Oct-23,Liberal RE,92
Nov-23,Liberal RE,89
Election 2019,Greens/EFA,74
Jun-19,Greens/EFA,74
Jul-19,Greens/EFA,65
Aug-19,Greens/EFA,64
Sep-19,Greens/EFA,63
Oct-19,Greens/EFA,62
Nov-19,Greens/EFA,61
Dec-19,Greens/EFA,52
Jan-20,Greens/EFA,53
Feb-20,Greens/EFA,53
Marc-20,Greens/EFA,51
Apr-20,Greens/EFA,46
May-20,Greens/EFA,47
Jun-20,Greens/EFA,48
Jul-20,Greens/EFA,49
Aug-20,Greens/EFA,49
Sep-20,Greens/EFA,49
Oct-20,Greens/EFA,48
Nov-20,Greens/EFA,48
Dec-20,Greens/EFA,47
Jan-21,Greens/EFA,49
Feb-21,Greens/EFA,48
Marc-21,Greens/EFA,52
Apr-21,Greens/EFA,56
May-21,Greens/EFA,58
Jun-21,Greens/EFA,55
Jul-21,Greens/EFA,53
Aug-21,Greens/EFA,54
Sep-21,Greens/EFA,47
Oct-21,Greens/EFA,51
Nov-21,Greens/EFA,55
Dec-21,Greens/EFA,55
Jan-22,Greens/EFA,54
Feb-22,Greens/EFA,51
Marc-22,Greens/EFA,52
Apr-22,Greens/EFA,56
May-22,Greens/EFA,58
Jun-22,Greens/EFA,61
Jul-22,Greens/EFA,57
Aug-22,Greens/EFA,57
Sep-22,Greens/EFA,52
Oct-22,Greens/EFA,53
Nov-22,Greens/EFA,56
Dec-22,Greens/EFA,56
Jan-23,Greens/EFA,55
Feb-23,Greens/EFA,49
Marc-23,Greens/EFA,46
Apr-23,Greens/EFA,49
May-23,Greens/EFA,48
Jun-23,Greens/EFA,48
Jul-23,Greens/EFA,49
Aug-23,Greens/EFA,52
Sep-23,Greens/EFA,52
Oct-23,Greens/EFA,51
Nov-23,Greens/EFA,51
Election 2019,LEFT,41
Jun-19,LEFT,46
Jul-19,LEFT,48
Aug-19,LEFT,47
Sep-19,LEFT,48
Oct-19,LEFT,46
Nov-19,LEFT,49
Dec-19,LEFT,53
Jan-20,LEFT,55
Feb-20,LEFT,56
Marc-20,LEFT,57
Apr-20,LEFT,55
May-20,LEFT,55
Jun-20,LEFT,54
Jul-20,LEFT,54
Aug-20,LEFT,55
Sep-20,LEFT,55
Oct-20,LEFT,54
Nov-20,LEFT,55
Dec-20,LEFT,55
Jan-21,LEFT,53
Feb-21,LEFT,49
Marc-21,LEFT,51
Apr-21,LEFT,52
May-21,LEFT,51
Jun-21,LEFT,52
Jul-21,LEFT,52
Aug-21,LEFT,52
Sep-21,LEFT,50
Oct-21,LEFT,50
Nov-21,LEFT,50
Dec-21,LEFT,49
Jan-22,LEFT,48
Feb-22,LEFT,52
Marc-22,LEFT,52
Apr-22,LEFT,54
May-22,LEFT,54
Jun-22,LEFT,55
Jul-22,LEFT,55
Aug-22,LEFT,54
Sep-22,LEFT,54
Oct-22,LEFT,55
Nov-22,LEFT,49
Dec-22,LEFT,48
Jan-23,LEFT,49
Feb-23,LEFT,48
Marc-23,LEFT,47
Apr-23,LEFT,51
May-23,LEFT,53
Jun-23,LEFT,50
Jul-23,LEFT,45
Aug-23,LEFT,38
Sep-23,LEFT,43
Oct-23,LEFT,45
Nov-23,LEFT,37
Election 2019,Non Inscrits,57
Jun-19,Non Inscrits,54
Jul-19,Non Inscrits,33
Aug-19,Non Inscrits,32
Sep-19,Non Inscrits,32
Oct-19,Non Inscrits,30
Nov-19,Non Inscrits,25
Dec-19,Non Inscrits,25
Jan-20,Non Inscrits,23
Feb-20,Non Inscrits,21
Marc-20,Non Inscrits,21
Apr-20,Non Inscrits,23
May-20,Non Inscrits,23
Jun-20,Non Inscrits,24
Jul-20,Non Inscrits,23
Aug-20,Non Inscrits,24
Sep-20,Non Inscrits,23
Oct-20,Non Inscrits,24
Nov-20,Non Inscrits,23
Dec-20,Non Inscrits,22
Jan-21,Non Inscrits,23
Feb-21,Non Inscrits,22
Marc-21,Non Inscrits,32
Apr-21,Non Inscrits,34
May-21,Non Inscrits,35
Jun-21,Non Inscrits,34
Jul-21,Non Inscrits,34
Aug-21,Non Inscrits,35
Sep-21,Non Inscrits,36
Oct-21,Non Inscrits,35
Nov-21,Non Inscrits,36
Dec-21,Non Inscrits,35
Jan-22,Non Inscrits,47
Feb-22,Non Inscrits,48
Marc-22,Non Inscrits,44
Apr-22,Non Inscrits,40
May-22,Non Inscrits,38
Jun-22,Non Inscrits,33
Jul-22,Non Inscrits,35
Aug-22,Non Inscrits,35
Sep-22,Non Inscrits,39
Oct-22,Non Inscrits,41
Nov-22,Non Inscrits,46
Dec-22,Non Inscrits,45
Jan-23,Non Inscrits,52
Feb-23,Non Inscrits,49
Marc-23,Non Inscrits,51
Apr-23,Non Inscrits,52
May-23,Non Inscrits,50
Jun-23,Non Inscrits,53
Jul-23,Non Inscrits,55
Aug-23,Non Inscrits,56
Sep-23,Non Inscrits,56
Oct-23,Non Inscrits,53
Nov-23,Non Inscrits,52
Election 2019,Right-wing ID,73
Jun-19,Right-wing ID,80
Jul-19,Right-wing ID,79
Aug-19,Right-wing ID,80
Sep-19,Right-wing ID,79
Oct-19,Right-wing ID,78
Nov-19,Right-wing ID,80
Dec-19,Right-wing ID,82
Jan-20,Right-wing ID,85
Feb-20,Right-wing ID,85
Marc-20,Right-wing ID,83
Apr-20,Right-wing ID,78
May-20,Right-wing ID,77
Jun-20,Right-wing ID,77
Jul-20,Right-wing ID,75
Aug-20,Right-wing ID,75
Sep-20,Right-wing ID,77
Oct-20,Right-wing ID,74
Nov-20,Right-wing ID,73
Dec-20,Right-wing ID,72
Jan-21,Right-wing ID,72
Feb-21,Right-wing ID,75
Marc-21,Right-wing ID,74
Apr-21,Right-wing ID,74
May-21,Right-wing ID,74
Jun-21,Right-wing ID,77
Jul-21,Right-wing ID,76
Aug-21,Right-wing ID,76
Sep-21,Right-wing ID,75
Oct-21,Right-wing ID,75
Nov-21,Right-wing ID,75
Dec-21,Right-wing ID,62
Jan-22,Right-wing ID,63
Feb-22,Right-wing ID,62
Marc-22,Right-wing ID,63
Apr-22,Right-wing ID,65
May-22,Right-wing ID,63
Jun-22,Right-wing ID,64
Jul-22,Right-wing ID,64
Aug-22,Right-wing ID,65
Sep-22,Right-wing ID,64
Oct-22,Right-wing ID,66
Nov-22,Right-wing ID,63
Dec-22,Right-wing ID,63
Jan-23,Right-wing ID,65
Feb-23,Right-wing ID,66
Marc-23,Right-wing ID,63
Apr-23,Right-wing ID,64
May-23,Right-wing ID,66
Jun-23,Right-wing ID,69
Jul-23,Right-wing ID,72
Aug-23,Right-wing ID,73
Sep-23,Right-wing ID,74
Oct-23,Right-wing ID,76
Nov-23,Right-wing ID,87
Election 2019,unaffiliated,0
Jun-19,unaffiliated,2
Jul-19,unaffiliated,3
Aug-19,unaffiliated,3
Sep-19,unaffiliated,3
Oct-19,unaffiliated,2
Nov-19,unaffiliated,1
Dec-19,unaffiliated,3
Jan-20,unaffiliated,6
Feb-20,unaffiliated,6
Marc-20,unaffiliated,6
Apr-20,unaffiliated,4
May-20,unaffiliated,3
Jun-20,unaffiliated,3
Jul-20,unaffiliated,5
Aug-20,unaffiliated,5
Sep-20,unaffiliated,4
Oct-20,unaffiliated,9
Nov-20,unaffiliated,12
Dec-20,unaffiliated,11
Jan-21,unaffiliated,16
Feb-21,unaffiliated,19
Marc-21,unaffiliated,19
Apr-21,unaffiliated,19
May-21,unaffiliated,18
Jun-21,unaffiliated,18
Jul-21,unaffiliated,17
Aug-21,unaffiliated,16
Sep-21,unaffiliated,15
Oct-21,unaffiliated,5
Nov-21,unaffiliated,4
Dec-21,unaffiliated,17
Jan-22,unaffiliated,9
Feb-22,unaffiliated,8
Marc-22,unaffiliated,9
Apr-22,unaffiliated,10
May-22,unaffiliated,10
Jun-22,unaffiliated,7
Jul-22,unaffiliated,9
Aug-22,unaffiliated,10
Sep-22,unaffiliated,10
Oct-22,unaffiliated,6
Nov-22,unaffiliated,7
Dec-22,unaffiliated,7
Jan-23,unaffiliated,4
Feb-23,unaffiliated,5
Marc-23,unaffiliated,12
Apr-23,unaffiliated,11
May-23,unaffiliated,11
Jun-23,unaffiliated,12
Jul-23,unaffiliated,12
Aug-23,unaffiliated,9
Sep-23,unaffiliated,10
Oct-23,unaffiliated,11
Nov-23,unaffiliated,4
