index,_pos
0,"array([6.27257462, 3.64659384])"
1,"array([6.30521921, 3.64228246])"
2,"array([6.32338455, 3.62066877])"
3,"array([6.35760021, 3.60703261])"
4,"array([6.38347494, 3.58387077])"
5,"array([6.40277439, 3.59904565])"
6,"array([6.39778017, 3.56683028])"
7,"array([6.44695279, 3.54280755])"
8,"array([6.41770501, 3.55107989])"
9,"array([6.4619111 , 3.53427536])"
10,"array([6.43542145, 3.5352096 ])"
11,"array([6.5085002, 3.5669159])"
12,"array([6.48013729, 3.52781698])"
13,"array([6.51576657, 3.54742103])"
14,"array([6.5185921, 3.5190928])"
15,"array([6.54115915, 3.51794438])"
16,"array([6.54180159, 3.4933832 ])"
17,"array([6.58825294, 3.54929364])"
18,"array([6.58472555, 3.50697323])"
19,"array([6.61574278, 3.54121046])"
20,"array([6.62446996, 3.51182608])"
21,"array([6.64999749, 3.52984931])"
22,"array([6.65255771, 3.51127966])"
23,"array([6.68269987, 3.5259795 ])"
24,"array([6.67042139, 3.51385207])"
25,"array([6.718593  , 3.52772978])"
26,"array([6.70636163, 3.50115678])"
27,"array([6.74509269, 3.5085751 ])"
28,"array([6.76523182, 3.51690566])"
29,"array([6.81790255, 3.51307466])"
30,"array([5.52928313, 4.61996262])"
31,"array([5.54089271, 4.56160128])"
32,"array([5.57313008, 4.53311693])"
33,"array([5.56993331, 4.50074911])"
34,"array([5.56141314, 4.48720378])"
35,"array([5.60312241, 4.47047736])"
36,"array([5.57993178, 4.44633191])"
37,"array([5.63508047, 4.44668584])"
38,"array([5.59403153, 4.40114716])"
39,"array([5.64907014, 4.39814063])"
40,"array([5.62197021, 4.37687807])"
41,"array([5.66971141, 4.35412221])"
42,"array([5.62124187, 4.31335592])"
43,"array([5.61376042, 4.2989543 ])"
44,"array([5.68926384, 4.33013457])"
45,"array([5.65408918, 4.28567721])"
46,"array([5.63470447, 4.25197996])"
47,"array([5.7221622 , 4.30982376])"
48,"array([5.68520225, 4.2719794 ])"
49,"array([5.64508325, 4.21367935])"
50,"array([5.79155437, 4.26827088])"
51,"array([5.72346486, 4.23311613])"
52,"array([5.68772761, 4.19852111])"
53,"array([5.76905363, 4.17962508])"
54,"array([5.75051515, 4.17660773])"
55,"array([5.72143469, 4.15719336])"
56,"array([5.68470861, 4.11743996])"
57,"array([5.6740956 , 4.06233213])"
58,"array([5.66185052, 4.04586893])"
59,"array([5.69286913, 3.97711528])"
60,"array([5.78663778, 4.16716557])"
61,"array([5.7656359 , 4.13441659])"
62,"array([5.75717715, 4.12092783])"
63,"array([5.73127536, 4.11224213])"
64,"array([5.70164202, 4.03263071])"
65,"array([5.68247447, 4.00532161])"
66,"array([5.7951633 , 4.13765392])"
67,"array([5.77683842, 4.10562466])"
68,"array([5.75491792, 4.06038039])"
69,"array([5.75026795, 4.02870589])"
70,"array([5.73756298, 3.99036946])"
71,"array([5.72406097, 3.98680972])"
72,"array([5.81939705, 4.10471843])"
73,"array([5.80846216, 4.0773884 ])"
74,"array([5.78652023, 4.03975074])"
75,"array([5.76662551, 4.00814585])"
76,"array([5.75505357, 3.97471   ])"
77,"array([5.7526312 , 3.94950015])"
78,"array([5.86167382, 4.05831084])"
79,"array([5.83732727, 4.02974841])"
80,"array([5.8086911 , 4.01507464])"
81,"array([5.80316867, 3.97293024])"
82,"array([5.80630615, 3.93470128])"
83,"array([5.80038988, 3.91525821])"
84,"array([5.90013483, 4.02985706])"
85,"array([5.87734627, 4.01859897])"
86,"array([5.84440293, 3.97332295])"
87,"array([5.83506854, 3.94775048])"
88,"array([5.84069818, 3.9254275 ])"
89,"array([5.92909915, 3.99753725])"
90,"array([5.90730606, 3.97119512])"
91,"array([5.87868277, 3.95865935])"
92,"array([5.90694136, 3.92912869])"
93,"array([5.85887025, 3.89857103])"
94,"array([5.83922737, 3.89358581])"
95,"array([5.93390833, 3.97794572])"
96,"array([5.92249538, 3.95783727])"
97,"array([5.93073143, 3.92455173])"
98,"array([5.92056218, 3.89688218])"
99,"array([5.90761316, 3.88854134])"
100,"array([5.80494086, 4.23457111])"
101,"array([5.75552495, 4.2079756 ])"
102,"array([5.73321961, 4.19949638])"
103,"array([5.71788632, 4.1736493 ])"
104,"array([5.66540671, 4.12885994])"
105,"array([5.83043383, 4.2090688 ])"
106,"array([5.78065587, 4.21252067])"
107,"array([5.74315535, 4.18827234])"
108,"array([5.69612046, 4.15338151])"
109,"array([5.65367352, 4.07379506])"
110,"array([5.83051041, 4.19350289])"
111,"array([5.77155741, 4.19558638])"
112,"array([5.84366383, 4.18136211])"
113,"array([5.83103043, 4.16637184])"
114,"array([5.89386801, 4.10713607])"
115,"array([5.90219125, 4.08393774])"
116,"array([5.96883233, 4.03148823])"
117,"array([5.98884038, 4.01690371])"
118,"array([6.00895365, 4.02126876])"
119,"array([5.996653  , 3.98793659])"
120,"array([5.97825457, 3.95161628])"
121,"array([5.94262962, 3.90804333])"
122,"array([5.93616639, 3.87321982])"
123,"array([5.9507235 , 3.84942072])"
124,"array([6.04356829, 4.00094529])"
125,"array([6.02122676, 3.98697364])"
126,"array([5.98867076, 3.93745254])"
127,"array([5.97807453, 3.91290898])"
128,"array([5.96000399, 3.86783545])"
129,"array([5.83700191, 4.22869579])"
130,"array([5.87792201, 4.19631445])"
131,"array([5.99904104, 4.07760903])"
132,"array([6.07161433, 4.0498583 ])"
133,"array([6.09087802, 4.0214077 ])"
134,"array([6.06509671, 3.95586158])"
135,"array([6.03164751, 3.91973206])"
136,"array([6.02419002, 3.83905797])"
137,"array([6.14750527, 3.96549831])"
138,"array([6.12602465, 3.94284011])"
139,"array([6.09693034, 3.90317359])"
140,"array([6.05771961, 3.81642172])"
141,"array([6.19229761, 3.94462243])"
142,"array([6.17085699, 3.94096495])"
143,"array([6.12258162, 3.89860777])"
144,"array([6.09262638, 3.80471235])"
145,"array([6.09009405, 3.7651854 ])"
146,"array([6.21265808, 3.93550444])"
147,"array([6.18841872, 3.90277274])"
148,"array([6.19926717, 3.88062758])"
149,"array([6.12717027, 3.78919539])"
150,"array([6.11448133, 3.76569753])"
151,"array([6.25658324, 3.9257329 ])"
152,"array([6.23706189, 3.88348311])"
153,"array([6.22090814, 3.84496543])"
154,"array([6.16858503, 3.77288569])"
155,"array([6.15401097, 3.73379522])"
156,"array([6.12419406, 3.71911941])"
157,"array([6.29387935, 3.90902811])"
158,"array([6.27246715, 3.8590752 ])"
159,"array([6.25257229, 3.82240223])"
160,"array([6.22249969, 3.73146523])"
161,"array([6.20077258, 3.71833272])"
162,"array([6.21579435, 3.68638953])"
163,"array([6.33718228, 3.88917654])"
164,"array([6.30230995, 3.83754357])"
165,"array([6.31056502, 3.79127482])"
166,"array([6.28342611, 3.73616133])"
167,"array([6.27211786, 3.70134684])"
168,"array([6.27643107, 3.67693226])"
169,"array([6.36904142, 3.88537771])"
170,"array([6.35578057, 3.82599771])"
171,"array([6.35185585, 3.79217835])"
172,"array([6.34177901, 3.71859915])"
173,"array([6.35567882, 3.69519128])"
174,"array([6.32011972, 3.66713003])"
175,"array([6.43173432, 3.86906316])"
176,"array([6.39469967, 3.83616352])"
177,"array([6.39853109, 3.79093572])"
178,"array([6.3917347 , 3.71120674])"
179,"array([6.3504413 , 3.67553959])"
180,"array([6.364704  , 3.65063912])"
181,"array([6.4461391, 3.8475853])"
182,"array([6.42654731, 3.8164795 ])"
183,"array([6.43866955, 3.77005519])"
184,"array([6.43356258, 3.71563771])"
185,"array([6.40484516, 3.68427498])"
186,"array([6.38481468, 3.6420666 ])"
187,"array([6.47892022, 3.83721376])"
188,"array([6.47134535, 3.81817112])"
189,"array([6.47379749, 3.76782631])"
190,"array([6.45113596, 3.70490605])"
191,"array([6.44178252, 3.68819957])"
192,"array([6.45408698, 3.57785716])"
193,"array([6.52403662, 3.82811378])"
194,"array([6.50600929, 3.77530697])"
195,"array([6.50002572, 3.74614464])"
196,"array([6.48468498, 3.67701378])"
197,"array([6.48416368, 3.59072292])"
198,"array([6.47224991, 3.57169017])"
199,"array([6.55685049, 3.83531509])"
200,"array([6.54581505, 3.75790793])"
201,"array([6.54628166, 3.73095032])"
202,"array([6.54113753, 3.66155234])"
203,"array([6.49750298, 3.58571916])"
204,"array([6.51085442, 3.59244976])"
205,"array([6.60450834, 3.80661731])"
206,"array([6.58977717, 3.78633774])"
207,"array([6.57901931, 3.69027889])"
208,"array([6.54113551, 3.6865246 ])"
209,"array([6.52561095, 3.66146157])"
210,"array([6.54736328, 3.56089664])"
211,"array([6.62432335, 3.79030652])"
212,"array([6.59563633, 3.72642655])"
213,"array([6.58391136, 3.67534736])"
214,"array([6.58474007, 3.63995239])"
215,"array([6.57785548, 3.62751298])"
216,"array([6.56674034, 3.55955594])"
217,"array([6.63552906, 3.77830809])"
218,"array([6.63398633, 3.73556823])"
219,"array([6.61967552, 3.69018477])"
220,"array([6.62476028, 3.64795561])"
221,"array([6.61528478, 3.62123329])"
222,"array([6.61313274, 3.57415946])"
223,"array([6.67663587, 3.78884382])"
224,"array([6.66907515, 3.72361005])"
225,"array([6.66189535, 3.67237767])"
226,"array([6.65780582, 3.65341349])"
227,"array([6.64940164, 3.6205337 ])"
228,"array([6.63088391, 3.57388148])"
229,"array([6.69756477, 3.7614024 ])"
230,"array([6.69573172, 3.70147637])"
231,"array([6.6877345 , 3.66975005])"
232,"array([6.66405503, 3.63094709])"
233,"array([6.6723334 , 3.60685086])"
234,"array([6.66586844, 3.56068816])"
235,"array([6.73362139, 3.72703938])"
236,"array([6.71529497, 3.70221671])"
237,"array([6.69863821, 3.64390501])"
238,"array([6.71314642, 3.6159787 ])"
239,"array([6.71220877, 3.56299558])"
240,"array([6.70267429, 3.55635576])"
241,"array([6.76354682, 3.72209455])"
242,"array([6.74986445, 3.68116703])"
243,"array([6.75062092, 3.66230119])"
244,"array([6.73543805, 3.61318808])"
245,"array([6.73756391, 3.55747122])"
246,"array([6.71645064, 3.54337978])"
247,"array([6.79950855, 3.70669433])"
248,"array([6.77544586, 3.68985546])"
249,"array([6.77402963, 3.60822694])"
250,"array([6.7525589 , 3.54919348])"
251,"array([6.80060603, 3.6860617 ])"
252,"array([6.79141428, 3.67117761])"
253,"array([6.8330115 , 3.69681438])"
254,"array([6.8024108 , 3.65017144])"
255,"array([6.79580773, 3.63165755])"
256,"array([6.78919401, 3.58671985])"
257,"array([6.77675772, 3.55918928])"
258,"array([6.84260911, 3.66645417])"
259,"array([6.82541383, 3.66069904])"
260,"array([6.81945081, 3.6276596 ])"
261,"array([6.80879728, 3.60002426])"
262,"array([6.87059698, 3.63524738])"
263,"array([6.84679374, 3.59934035])"
264,"array([6.81668581, 3.53600857])"
265,"array([5.59158645, 4.89377516])"
266,"array([5.58252638, 4.87104321])"
267,"array([5.57293866, 4.85703045])"
268,"array([5.60097963, 4.85096078])"
269,"array([5.57457307, 4.82841565])"
270,"array([5.62696817, 4.82210759])"
271,"array([5.59307116, 4.81094805])"
272,"array([5.57822043, 4.792638  ])"
273,"array([5.66943982, 4.78531459])"
274,"array([5.60661126, 4.76246715])"
275,"array([5.5836327 , 4.75632067])"
276,"array([5.54394278, 4.74525661])"
277,"array([5.68390803, 4.77073827])"
278,"array([5.61694663, 4.74214096])"
279,"array([5.58989449, 4.71962633])"
280,"array([5.55182934, 4.67752904])"
281,"array([5.52701853, 4.67284161])"
282,"array([5.72838674, 4.75784886])"
283,"array([5.70284063, 4.72791961])"
284,"array([5.69274811, 4.71024777])"
285,"array([5.62360617, 4.68036357])"
286,"array([5.58932665, 4.66621895])"
287,"array([5.55417601, 4.64205289])"
288,"array([5.73551775, 4.71760515])"
289,"array([5.72053215, 4.70761841])"
290,"array([5.68361922, 4.6952614 ])"
291,"array([5.62693465, 4.64771224])"
292,"array([5.59451565, 4.61502689])"
293,"array([5.57474524, 4.58866287])"
294,"array([5.77320312, 4.70375232])"
295,"array([5.71933507, 4.67240444])"
296,"array([5.70146255, 4.64814124])"
297,"array([5.65283785, 4.61700681])"
298,"array([5.61691619, 4.59628437])"
299,"array([5.59215006, 4.5548637 ])"
300,"array([5.7880572 , 4.67182498])"
301,"array([5.75709005, 4.62694717])"
302,"array([5.70719853, 4.6146903 ])"
303,"array([5.67086703, 4.58934753])"
304,"array([5.64348149, 4.55894453])"
305,"array([5.60877423, 4.5223618 ])"
306,"array([5.81354884, 4.62844293])"
307,"array([5.78509651, 4.60598083])"
308,"array([5.73848703, 4.56963478])"
309,"array([5.70544494, 4.55316693])"
310,"array([5.67881667, 4.52447756])"
311,"array([5.62594503, 4.48970025])"
312,"array([5.84093853, 4.59763011])"
313,"array([5.8128348 , 4.56430853])"
314,"array([5.76912564, 4.56069379])"
315,"array([5.7122109, 4.5029107])"
