Contestant,Total score,Jury score,Televoting score,Netherlands,San Marino,North Macedonia,Malta,Ukraine,Albania,Estonia,Azerbaijan,Portugal,Germany,Belgium,Norway,Israel,Poland,Greece,Moldova,Bulgaria,Serbia,Iceland,Cyprus,Latvia,Spain,Switzerland,Denmark,France,Armenia,Montenegro,Romania,Ireland,Slovenia,Georgia,Croatia,Lithuania,Austria,Finland,United Kingdom,Sweden,Australia,Czech Republic,Italy
Czech Republic,38,33,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,65,12,53,,1,,3,,,,,,,,,,,2,10,4,5,,4,,10,,,1,,,,2,,,,,,,3,,,,8
Portugal,207,171,36,,,,,,,,,,,1,,,1,,,,,,,,4,7,,6,4,5,,,,,,7,,,,,,,1
Finland,38,12,26,,,,1,4,2,8,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,7,,1,
Switzerland,78,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,17,9,8,,,,,,,,,,,,,,,1,2,,2,,,,,,,,,,1,,,,1,,,1,,,,,
Norway,182,36,146,5,2,2,4,2,,4,7,2,1,,,4,4,6,6,1,8,10,,5,3,,8,,,2,2,4,3,,5,2,5,6,6,10,10,3,4
Armenia,61,40,21,,,,,,,,,,,,,,,,,5,,,1,,,,,5,,,,,,10,,,,,,,,,
Italy,268,158,110,,5,6,10,,8,,5,3,3,4,,3,,7,,2,4,,5,,5,8,,3,,6,4,,6,,6,3,3,,,,1,,
Spain,459,231,228,7,10,10,7,1,7,1,10,10,2,6,1,8,6,12,8,8,10,3,8,4,,6,1,7,8,8,8,5,4,6,7,6,1,3,5,2,6,6,
Netherlands,171,129,42,,,,,3,6,3,,4,4,10,,2,,,,,,5,,,,,,,,,,,1,,,1,,,,1,,,2
Ukraine,631,192,439,12,12,8,8,,10,12,12,12,12,12,12,12,12,10,12,12,7,12,12,12,12,10,12,12,10,10,10,12,10,12,10,12,12,12,12,12,12,12,12
Germany,6,0,6,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,
Lithuania,128,35,93,,,1,,10,,7,,1,,,10,,2,,4,,3,2,2,10,,,7,,2,,,8,2,5,3,,,2,7,3,2,,
Azerbaijan,106,103,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
Belgium,64,59,5,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Greece,215,158,57,,7,,,,12,,3,,,,7,,,,,6,,,10,,,,,,3,,,,8,1,,,,,,,,,
Iceland,20,10,10,,,,,8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Moldova,253,14,239,10,4,7,,6,1,6,,8,10,8,4,6,7,3,,7,12,6,,7,7,4,5,10,5,7,12,7,7,8,8,5,7,5,8,,4,8,10
Sweden,438,258,180,2,3,4,5,,,10,4,7,5,5,8,5,10,4,5,,1,8,,6,6,3,10,,7,1,6,3,5,,4,10,6,8,4,,5,5,5
Australia,125,123,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,466,283,183,8,6,,12,7,4,5,8,6,6,3,6,10,3,5,3,3,,7,6,3,8,5,6,2,1,,3,6,,4,,4,8,4,,6,7,2,6
Poland,151,46,105,6,,,2,12,,,1,,8,7,5,1,,,,,,4,3,,1,1,4,4,,4,,10,,,,,4,,10,5,3,7,3
Serbia,312,87,225,3,8,12,6,,3,,6,5,7,2,3,7,5,8,,10,,1,7,2,2,12,,8,6,12,7,1,12,7,12,,10,7,1,8,8,10,7
Estonia,141,43,98,1,,3,,5,5,,,,,,2,,8,,7,,6,,,8,,,3,,12,3,5,,,,2,8,,10,2,4,,4,
