source,target
0,1
0,2
0,3
0,4
1,2
2,30
2,31
2,4
3,4
4,26
5,6
5,7
5,3
5,8
5,4
5,9
6,3
6,9
7,18
7,8
7,4
8,9
10,11
10,12
10,13
10,14
11,13
11,15
12,8
12,9
13,15
13,14
14,19
15,39
16,17
16,18
16,12
16,8
16,14
16,19
17,7
17,18
17,8
18,35
18,19
20,21
20,22
20,23
21,45
21,22
21,23
21,46
22,29
22,46
24,25
24,26
25,29
25,26
25,44
26,44
27,25
27,28
27,29
28,22
28,29
29,44
30,31
30,4
30,26
32,33
32,34
32,7
32,18
32,35
32,36
33,40
33,41
33,7
33,36
34,48
34,35
34,36
35,19
37,38
37,13
37,15
37,14
37,39
37,19
38,48
38,35
38,19
40,41
40,42
40,43
41,7
41,43
41,4
41,26
41,44
42,43
42,36
43,29
43,44
45,46
47,45
48,35
