Osoba;Przedmiot;stanowisko
Barbara Roszkowska-Lech;AwAD;profesor uczelni
Michał Zwierzyński;AwAD;adiunkt
Anna Dembińska;AM2;profesor uczelni
Michał Dybowski;AM2;współpracownik
Piotr Gałązka;AM2;adiunkt
Bogusława Karpińska;AM2;profesor uczelni
Michał Zwierzyński;AM2;adiunkt
Hubert Grochowski;MD;współpracownik
Zbigniew Lonc;MD;profesor 
Paweł Naroski;MD;adiunkt
Marta Przyborowska;MD;adiunkt
Maciej Bednarz;Java;współpracownik
Marcin Luckner;Java;profesor uczelni
Janusz Rafałko;Java;adiunkt
Anna Cena;PDU;adiunkt
Michał Denkiewicz;PDU;asystent
Marek Gągolewski;PDU;adiunkt
Mateusz Krzyziński;PDU;współpracownik
Robert Małysz;PDU;adiunkt
Mikołaj Spytek;PDU;współpracownik
Barbara Żogała-Siudem;PDU;współpracownik
Zbigniew Król;WZFI;profesor uczelni
Barbara Roszkowska-Lech;ALZG;profesor uczelni
Michał Zwierzyński;ALZG;adiunkt
Anna Dembińska;AM1;profesor uczelni
Wojciech Domitrz;AM1;profesor uczelni
Piotr Gałązka;AM1;adiunkt
Bogusława Karpińska;AM1;profesor uczelni
Michał Zwierzyński;AM1;adiunkt
Wiktor Daszczuk;AK;adiunkt
Piotr Gawkowski;AK;asystent
Krystian Radlak;AK;adiunkt
Michał Ziembowski;ELiTM;profesor uczelni
Anna Cichocka;ELiTM;współpracownik
Aleksandra Firek;KRP;asystent
Marcin Luckner;KRP;profesor uczelni
Anna Cena;PPPD;adiunkt
Michał Dębski;PPPD;adiunkt
Marek Gągolewski;PPPD;adiunkt
Małgorzata Śleszyńska-Nowak;PPPD;adiunkt
Paweł Józiak;SOwID;adiunkt
