source,target,rank,gender
0,0,Asst,M
0,0,Assoc,M
0,0,Assoc,M
0,0,Full,M
0,0,Full,M
0,0,Full,M
0,0,Full,F
0,0,Full,M
0,0,Full,M
0,1,Asst,M
0,1,Asst,M
0,1,Assoc,M
0,1,Assoc,M
0,1,Assoc,M
0,1,Assoc,M
0,1,Full,M
0,1,Full,F
0,1,Full,M
0,2,Asst,M
0,2,Assoc,F
0,2,Assoc,M
0,2,Full,M
0,2,Full,M
0,2,Full,M
0,2,Full,M
0,2,Full,M
0,2,Full,F
0,2,Full,M
0,2,Full,F
0,2,Full,M
0,2,Full,M
0,2,Full,M
0,3,Full,M
0,3,Full,M
0,4,Asst,M
0,4,Asst,M
0,4,Assoc,M
0,4,Full,M
0,4,Full,F
0,4,Full,M
0,4,Full,M
0,5,Assoc,M
0,5,Full,M
0,5,Full,F
0,5,Full,M
0,5,Full,M
0,5,Full,M
0,5,Full,M
0,5,Full,M
0,5,Full,M
0,5,Full,M
0,5,Full,M
0,6,Assoc,M
0,6,Assoc,M
0,6,Assoc,F
0,6,Full,F
0,6,Full,M
0,6,Full,M
0,6,Full,M
0,7,Full,M
0,7,Full,F
0,8,Asst,F
0,8,Full,M
0,8,Full,M
0,8,Full,M
0,8,Full,F
0,9,Assoc,M
0,9,Assoc,M
0,9,Assoc,M
0,9,Full,M
0,9,Full,M
0,9,Full,M
0,10,Asst,M
0,10,Full,M
0,11,Asst,M
0,11,Assoc,M
0,11,Full,M
0,11,Full,M
0,12,Full,M
0,12,Full,F
0,12,Full,M
0,12,Full,F
0,13,Asst,M
0,13,Assoc,M
0,13,Full,M
0,13,Full,M
0,14,Assoc,M
0,14,Assoc,M
0,14,Full,F
0,14,Full,M
0,14,Full,F
0,15,Asst,F
0,16,Assoc,M
0,16,Full,M
0,17,Asst,M
0,17,Assoc,M
0,17,Assoc,M
0,17,Full,M
0,17,Full,M
0,18,Asst,M
0,18,Assoc,M
0,19,Asst,M
0,20,Full,M
0,21,Asst,F
0,21,Full,M
0,22,Assoc,M
0,22,Full,M
0,23,Asst,M
0,23,Assoc,F
0,23,Full,M
0,23,Full,M
0,23,Full,M
0,23,Full,M
0,23,Full,M
0,24,Assoc,F
0,24,Full,F
