# source, target, tau, severity, weight, color, gender, patients_norm, RRI^F, patients, tau_norm, RRI^M
0,1,0.01,Moderate,1.12857142857,#fcb89d,Female,1.00551506795,1.41670742695,3,1.12857142857,0.705862043902
0,18,0.03,Moderate,1.38571428571,#808080,Male,1.02206027181,0.885442141846,9,1.38571428571,1.12937927024
0,26,0.07,Moderate,1.9,#fcb297,Female,1.04963561158,1.5347663792,19,1.9,0.651564963602
0,28,0.26,Moderate,4.34285714286,#e4bbaa,Female,1.04412054363,1.0119338764,17,4.34285714286,0.988206861462
0,72,0.16,Major,3.05714285714,#bc141a,Female,1.00827260193,126.09,4,3.05714285714,0.0
0,6,0.17,Moderate,3.18571428571,#808080,Male,1.00827260193,0.236117904492,4,3.18571428571,4.23517226341
2,1,0.02,Moderate,1.25714285714,#808080,Male,1.00275753398,0.708353713477,2,1.25714285714,1.4117240878
2,4,0.05,Moderate,1.64285714286,#808080,Male,1.0716958834,0.486993178015,27,1.64285714286,2.05341685499
2,6,0.12,Moderate,2.54285714286,#fcb89d,Female,1.00551506795,1.41670742695,3,2.54285714286,0.705862043902
2,20,0.31,Minor,4.98571428571,#808080,Male,1.04136300965,0.550941777148,16,4.98571428571,1.81507382718
2,38,0.51,Moderate,7.55714285714,#808080,Male,1.0,0.0,1,7.55714285714,126.09
2,69,0.32,Moderate,5.11428571429,#808080,Male,1.40811502856,0.799427762352,149,5.11428571429,1.25089476134
2,17,0.23,Moderate,3.95714285714,#fcbfa6,Female,1.0358479417,1.27503668426,14,3.95714285714,0.784291159891
2,71,0.07,Moderate,1.9,#fcc4ad,Female,1.06893834942,1.13336594156,26,1.9,0.882327554877
2,18,0.1,Moderate,2.28571428571,#808080,Male,1.00551506795,0.354176856738,3,2.28571428571,2.82344817561
2,14,0.4,Moderate,6.14285714286,#808080,Male,1.11581642702,0.615959750849,43,6.14285714286,1.62348270097
2,63,0.24,Major,4.08571428571,#bc141a,Female,1.00275753398,126.09,2,4.08571428571,0.0
2,26,0.15,Moderate,2.92857142857,#fca88c,Female,1.06342328147,1.72028758987,24,2.92857142857,0.581298153801
2,22,0.47,Moderate,7.04285714286,#808080,Male,1.19302737837,0.728592391005,71,7.04285714286,1.37250952981
2,72,0.49,Major,7.3,#bc141a,Female,1.0,126.09,1,7.3,0.0
2,59,0.25,Moderate,4.21428571429,#bc141a,Female,1.0,126.09,1,4.21428571429,0.0
3,4,0.07,Major,1.9,#fdc9b4,Female,1.05790821351,1.02317758613,22,1.9,0.977347445402
3,16,0.05,Major,1.64285714286,#808080,Male,1.06342328147,0.837145297745,24,1.64285714286,1.1945357666
3,43,0.22,Minor,3.82857142857,#fdc8b2,Female,1.67008075635,1.07348449362,244,3.82857142857,0.931545826646
3,44,0.46,Moderate,6.91428571429,#808080,Male,1.12684656293,0.191446949588,47,6.91428571429,5.22337912487
3,17,0.13,Major,2.67142857143,#808080,Male,1.0468780776,0.885442141846,18,2.67142857143,1.12937927024
