,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
0,800 N Canal Blvd,American Restaurant and Fast Food Restaurant,Thibodaux,US,29.814697,-90.814742,SONIC Drive In,70301,LA,"https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html,http://sonicdrivein.com,http://www.sonicdrivein.com"
1,800 N Canal Blvd,Fast Food Restaurants,Thibodaux,US,29.814697,-90.814742,SONIC Drive In,70301,LA,"https://locations.sonicdrivein.com/la/thibodaux/800-north-canal-boulevard.html,http://sonicdrivein.com,http://www.sonicdrivein.com"
2,206 Wears Valley Rd,Fast Food Restaurant,Pigeon Forge,US,35.803788,-83.580553,Taco Bell,37863,TN,"http://www.tacobell.com,https://locations.tacobell.com/tn/pigeon-forge/206-wears-valley-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=026432andutm_content=website"
3,3652 Parkway,Fast Food,Pigeon Forge,US,35.782339,-83.551408,Arby's,37863,TN,"http://www.arbys.com,https://locations.arbys.com/us/tn/pigeon-forge/3652-parkway.html"
4,2118 Mt Zion Parkway,Fast Food Restaurant,Morrow,US,33.562738,-84.321143,Steak 'n Shake,30260,GA,http://www.steaknshake.com/locations/23851-steak-n-shake-mt-zion-parkway-morrow
5,9768 Grand River Ave,Fast Food Restaurant,Detroit,US,42.368823,-83.138251,Wendy's,48204,MI,http://www.wendys.com
6,13600 W McNichols Rd,Fast Food Restaurant,Detroit,US,42.416819,-83.180444,Burger King,48235,MI,"http://bk.com,http://www.bk.com"
7,4111 Oceanside Blvd,Fast Food,Oceanside,US,33.205722,-117.288645,Chipotle Mexican Grill,92056,CA,"http://www.chipotle.com,http://www.lasalsa.com"
8,162 Old Country Rd,Fast Food Restaurants,Riverhead,US,40.937359,-72.650142,7-Eleven,11901,NY,"http://www.7-eleven.com/?yext=39326,http://www.7-eleven.com"
9,1407 S Stockton Ave,Fast Food Restaurant,Monahans,US,31.580721,-102.891455,Dairy Queen,79756,TX,"http://www.dairyqueen.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJqRG97esP_MxDChA8jm1fugloTMDPF7zOe73z7Rzg5g9Epb5tslb4Ce2O9bVs-3osjI7W1LXK0P8-ceZJLb_Zm0NuJ46OZRPXqASUtjZowHbqYHz_KHREl3SRL-RlGbE5woot3O2zSqAWVHg-OlWhMHHJ9TR1jaOXMbzQAnUcZehcpq17Fx8TdD5LnknOH2OhntcYkp-Hmhc2uj_O6yVorIqEVf5Z62kWufiQ_mpIyS3EC2lcbYW-Qo4k6KLlDUXBhz61tD0Ed-XxpaLD24rGhItu5TjcLVVa3Tx4vbMdbUZcI1ZgYjFCwkqBDsIe7zQCbZJ1aOHgTBcCkHjLqSMEJ-VSSeMC2Y1vDdmeULpiA18&placement=listing_profile&cs_user=unknown&cs_session=9e084e19d8cf38f4a2ac131f1e6b96b494a6e801"
10,208 W Mason St,Fast Food Restaurant and Ice Cream Shop,Mabank,US,32.36602,-96.103364,Dairy Queen,75147,TX,http://dairyqueen.com
11,5801 Highway 6,Ice Cream Shop and Fast Food Restaurant,Missouri City,US,29.570079,-95.568166,Dairy Queen,77459,TX,http://www.dairyqueen.com
12,3454 Manchester Rd,Fast Food Restaurant,Akron,US,41.005682,-81.555774,Mr. Hero,44319,OH,http://mrhero.com
13,1500 E Main St,Fast Food Restaurants,Eastland,US,32.401088,-98.790162,Golden Chick,76448,TX,"http://locations.goldenchick.com/tx/eastland/1202,http://goldenchick.com"
14,1190 W Foothill Blvd,Fast Food Restaurant,Azusa,US,34.133291,-117.924566,Carl's Jr,91702,CA,"http://www.carlsjr.com,http://www.carlsjr.com/"
15,601 N Main St,Fast Food Restaurants,Summerville,US,33.026572,-80.169733,Checkers,29483,SC,"https://locations.checkers.com/sc/summerville/601-n.-main-st.,https://www.checkers.com,http://www.checkers.com"
16,1927 Woodville Road,Fast Food,Oregon,US,41.627298,-83.502436,Rally's,43616,OH,http://rallys.com/
17,6316 W 89th St,Fast Food,Los Angeles,US,33.955923,-118.396443,Togo's,90045,CA,http://www.togosspeedlunch.com/
18,3105 Highway 80 E,Fast Food Restaurants,Pearl,US,32.282328,-90.11677,Rally's,39208,MS,https://locations.rallys.com/ms/pearl/3105-highway-80-e-%C2%A0
19,2860 E Paris Ave SE,Fast Food Restaurant,Grand Rapids,US,42.91147,-85.56812,Checkers,49512,MI,"https://locations.checkers.com/mi/kentwood/2860-e-paris-ave-se,https://www.checkers.com,https://www.checkers.com/,http://www.checkers.com"
20,2424 E State Road 44,Fast Food Restaurant,Shelbyville,US,39.523704,-85.743659,Rally's,46176,IN,"https://locations.rallys.com/in/shelbyville/2424-e.-state-road-44,http://www.checkers.com,http://rallys.com,http://checkers.com"
21,1611 Broadway,Fast Food,Brooklyn,US,40.685506,-73.914457,Checkers,11207,NY,"https://locations.checkers.com/ny/brooklyn/1611-broadway,http://checkers.com,http://www.checkers.com"
22,1720 Walton Way,Fast Food Restaurants,Augusta,US,33.475292,-81.995946,Checkers,30904,GA,"https://locations.checkers.com/ga/augusta/1720-walton-way,https://www.checkers.com"
23,17620 Grand River Ave,Fast Food Restaurant,Detroit,US,42.400037,-83.21574,Checkers,48227,MI,https://locations.checkers.com/mi/detroit/17620-grand-river-ave
24,196 Massachusetts Ave,Fast Food Restaurants,Arlington,US,42.405651,-71.14212,Little Q Hot Pot,2474,MA,http://littleqhotpotma.com
25,1224 State St,Fast Food,Schenectady,US,42.79792,-73.924364,McDonald's,12304,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
26,1232 Ulster Ave,Fast Food Restaurant,Kingston,US,41.967079,-73.988583,McDonald's,12401,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
27,1188 Avenue of The Americas,Fast Food Restaurant,New York,US,40.757558,-73.981671,McDonald's,10036,NY,http://mcdonalds.com/
28,114 Delancey St,Fast Food Restaurant,New York,US,40.718943,-73.988306,McDonald's,10002,NY,http://mcdonalds.com
29,1050 Front St,Fast Food Restaurants,Uniondale,US,40.709646,-73.591453,McDonald's,11553,NY,"http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
30,105 Jericho Tpke,Fast Food Restaurant,Jericho,US,40.780233,-73.55934,McDonald's,11753,NY,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4ESe32aGoZZfGxPUKOAupg6AXFQsvl2-A1Ztd21x5FLKumNpUzGNTBeMk2RvPjC41ZIvgiFwjULRMf936HQ-3fDilu-Jgq-3DroFPqeb7LaXUO4XtGt4yXSJsg9W4tlLVRNocJRkydaRxa9wTgFisP8W1xHayi-pt4RT9UEBPO-64wX56BjzHLd30Vtc-E6tRn5Qu0eRc_DBQJlwYp8xTFBgQya-MzslAXqjYZJM60OQr_B_qw5j5R4po2lD4Bp7jBUJxb4mT_1yq0HrpM06V32safH8oc3ObTxX9_UKu9KEaQ7a5AB3RPweBodwruhmy6MJ1E0Fxm24zDrEGC31jcXkhlbSnNd5qVXz9k4rQUcMgo15OqXI_h7YvMn1AbfZSc1vKFfhUKB4xYwesNPYNLOd-O1d7LqWAuRfdmk9LpXp9Q4zcDWkNf4C7MeEajoEYfZru37-IFNUxi-19j6W-OiKcOftcd_UqL7Hf-CAQngzLDAOT2PALtFvXhDiuE0gq5&placement=listing_profile.c&cs_user=unknown&cs_session=fa3e41570a83c445cc822273e5417e8878250b09,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
31,105 Jericho Tpke,Fast Food,Jericho,US,40.780233,-73.55934,McDonald's,11753,NY,"http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4ESe32aGoZZfGxPUKOAupg6AXFQsvl2-A1Ztd21x5FLKumNpUzGNTBeMk2RvPjC41ZIvgiFwjULRMf936HQ-3fDilu-Jgq-3DroFPqeb7LaXUO4XtGt4yXSJsg9W4tlLVRNocJRkydaRxa9wTgFisP8W1xHayi-pt4RT9UEBPO-64wX56BjzHLd30Vtc-E6tRn5Qu0eRc_DBQJlwYp8xTFBgQya-MzslAXqjYZJM60OQr_B_qw5j5R4po2lD4Bp7jBUJxb4mT_1yq0HrpM06V32safH8oc3ObTxX9_UKu9KEaQ7a5AB3RPweBodwruhmy6MJ1E0Fxm24zDrEGC31jcXkhlbSnNd5qVXz9k4rQUcMgo15OqXI_h7YvMn1AbfZSc1vKFfhUKB4xYwesNPYNLOd-O1d7LqWAuRfdmk9LpXp9Q4zcDWkNf4C7MeEajoEYfZru37-IFNUxi-19j6W-OiKcOftcd_UqL7Hf-CAQngzLDAOT2PALtFvXhDiuE0gq5&placement=listing_profile.c&cs_user=unknown&cs_session=fa3e41570a83c445cc822273e5417e8878250b09,http://mcdonalds.com,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral"
