endTime,artistName,trackName,msPlayed,district
2023-12-17 18:09:00,Still Corners,Dreamhorse,205573,Targówek
2023-12-18 06:16:00,Nancy Wilson,When Sunny Gets Blue - Remastered,169009,Praga-Północ
2023-12-18 06:20:00,Katie Melua,Wonderful Life,247706,Praga-Północ
2023-12-18 06:24:00,Otis Redding,Try a Little Tenderness,201733,Praga-Północ
2023-12-18 06:29:00,Thundercat,No More Lies,327217,Praga-Północ
2023-12-18 06:31:00,"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),88624,Praga-Północ
2023-12-18 12:49:00,Arctic Monkeys,Knee Socks,195583,Śródmieście
2023-12-18 12:50:00,Masayoshi Takanaka,OH! TENGO SUERTE,90929,Śródmieście
2023-12-18 12:58:00,Masayoshi Takanaka,BELEZA PULA,473013,Śródmieście
2023-12-18 13:02:00,Gorillaz,Rhinestone Eyes,200173,Śródmieście
2023-12-18 13:05:00,Mother Mother,Bit By Bit,198333,Śródmieście
2023-12-19 09:03:00,Raport o stanie świata Dariusza Rosiaka,Raport - opowieści arabskie Jana Natkańskiego S02E03,120720,Śródmieście
2023-12-19 09:06:00,Tame Impala,Feels Like We Only Go Backwards,192960,Śródmieście
2023-12-19 09:09:00,Steve Lacy,Dark Red,173104,Śródmieście
2023-12-19 13:15:00,Raport o stanie świata Dariusza Rosiaka,Raport - opowieści arabskie Jana Natkańskiego S02E03,1287918,Śródmieście
2023-12-19 20:36:00,DJ Khaled,NO SECRET (feat. Drake),47354,Wola
2023-12-19 20:38:00,Brent Faiyaz,Clouded,110128,Wola
2023-12-19 20:41:00,The Weeknd,Heartless,198266,Wola
2023-12-19 20:44:00,Tory Lanez,Hurts Me,140800,Wola
2023-12-19 20:46:00,Jack Harlow,WHATS POPPIN,139741,Wola
2023-12-19 20:50:00,Kendrick Lamar,Die Hard,239026,Wola
2023-12-19 20:56:00,Mac Miller,Self Care,345133,Wola
2023-12-20 17:08:00,Steve Lacy,Amber,173520,Praga-Północ
2023-12-20 17:13:00,Steve Lacy,Sunshine (feat. Fousheé),293426,Praga-Północ
2023-12-20 17:17:00,Steve Lacy,Give You the World,222141,Praga-Północ
2023-12-23 09:30:00,Il Pagante,Settimana Bianca,262342,No district found
2023-12-23 09:34:00,Loona,Vamos a la Playa,161796,No district found
2023-12-28 17:17:00,Isaiah Rashad,Darkseid,126618,No district found
2023-12-28 17:31:00,Kendrick Lamar,YAH.,160293,No district found
2024-01-02 16:57:00,The Dumplings,Deszcz,221840,No district found
2024-01-02 16:59:00,The Cassino,Delta,131973,No district found
2024-01-02 17:01:00,Niemen,Sen o Warszawie - 1980,99253,No district found
2024-01-02 17:04:00,Lor,Trafalgar Square,198720,No district found
