artistName,Count,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
Taylor Swift,328,0.63,0.6,-7.59,0.06,0.24,0.13,0.38
One Direction,136,0.59,0.77,-4.61,0.05,0.1,0.18,0.55
Olivia Rodrigo,71,0.5,0.52,-7.16,0.08,0.43,0.17,0.38
Dua Lipa,55,0.7,0.78,-4.76,0.07,0.01,0.12,0.68
Jack Harlow,41,0.94,0.56,-4.91,0.06,0.0,0.09,0.61
Tate McRae,40,0.65,0.69,-4.76,0.06,0.26,0.15,0.53
Natalia Kukulska,38,0.54,0.65,-8.3,0.05,0.25,0.12,0.59
Qry,37,0.76,0.85,-4.52,0.17,0.05,0.08,0.58
Katy Perry,37,0.68,0.78,-4.62,0.06,0.04,0.22,0.68
Troye Sivan,33,0.59,0.67,-7.67,0.05,0.23,0.15,0.47
bambi,29,0.7,0.67,-6.98,0.12,0.09,0.1,0.43
SB Maffija,27,0.78,0.65,-7.27,0.17,0.29,0.15,0.7
The Weeknd,27,0.57,0.69,-6.67,0.06,0.07,0.14,0.31
iñigo quintero,24,0.54,0.42,-8.72,0.03,0.83,0.14,0.52
pik pik,22,0.75,0.65,-10.03,0.21,0.18,0.26,0.77
Ariana Grande,21,0.65,0.67,-5.56,0.09,0.06,0.2,0.41
PRO8L3M,20,0.74,0.66,-6.38,0.29,0.14,0.12,0.35
Justin Bieber,20,0.63,0.68,-6.62,0.07,0.21,0.14,0.51
5 Seconds of Summer,19,0.54,0.69,-4.65,0.11,0.13,0.12,0.44
Duke Dumont,18,0.69,0.72,-5.05,0.04,0.01,0.12,0.56
ZAYN,16,0.73,0.44,-8.42,0.05,0.06,0.14,0.11
Selena Gomez,14,0.64,0.64,-6.2,0.06,0.06,0.12,0.62
Louis Tomlinson,14,0.47,0.84,-3.8,0.05,0.0,0.42,0.45
Demi Lovato,13,0.59,0.68,-5.87,0.07,0.06,0.15,0.38
Blackway,12,0.7,0.76,-5.82,0.04,0.0,0.12,0.12
blondette,12,0.44,0.09,-21.82,0.05,0.99,0.11,0.18
Travis Scott,10,0.72,0.63,-5.53,0.09,0.13,0.2,0.29
Lana Del Rey,10,0.44,0.57,-9.55,0.06,0.34,0.12,0.17
Miley Cyrus,10,0.62,0.7,-4.63,0.05,0.14,0.11,0.48
Doja Cat,9,0.77,0.72,-5.72,0.13,0.21,0.13,0.61
mc's kako,8,0.6,0.82,-5.28,0.05,0.57,0.13,0.23
MIÜ,8,0.8,0.78,-4.68,0.2,0.28,0.05,0.63
Michael Bublé,8,0.47,0.29,-10.45,0.04,0.87,0.15,0.4
Zeamsone,8,0.79,0.6,-8.32,0.26,0.23,0.12,0.45
Aliyah's Interlude,8,0.97,0.71,-5.51,0.26,0.01,0.31,0.42
Rihanna,7,0.71,0.74,-5.06,0.06,0.03,0.15,0.55
Isabel LaRosa,7,0.47,0.68,-7.97,0.12,0.07,0.24,0.44
Oki,7,0.72,0.74,-5.42,0.13,0.05,0.32,0.6
Sabrina Carpenter,7,0.76,0.69,-4.64,0.03,0.06,0.16,0.78
Tory Lanez,7,0.64,0.53,-10.8,0.05,0.16,0.09,0.46
Kelly Clarkson,7,0.49,0.81,-4.39,0.06,0.1,0.2,0.55
Charli XCX,7,0.68,0.87,-4.1,0.06,0.06,0.11,0.71
2115,7,0.78,0.62,-8.11,0.13,0.19,0.11,0.63
Dean Martin,6,0.42,0.27,-13.71,0.04,0.84,0.16,0.56
Metro Boomin,6,0.64,0.52,-8.2,0.16,0.44,0.19,0.37
Kenya Grace,6,0.63,0.52,-8.31,0.09,0.7,0.22,0.42
Lady Gaga,6,0.79,0.72,-4.6,0.05,0.04,0.18,0.68
Giveon,6,0.43,0.44,-8.96,0.1,0.52,0.22,0.2
21 Savage,6,0.81,0.54,-7.34,0.12,0.19,0.34,0.26
Arctic Monkeys,6,0.46,0.42,-9.35,0.03,0.14,0.1,0.48
Pitbull,6,0.71,0.83,-5.3,0.11,0.04,0.32,0.77
cassö,6,0.64,0.72,-5.8,0.04,0.0,0.11,0.42
Ofenbach,5,0.61,0.76,-3.55,0.03,0.0,0.06,0.28
Camila Cabello,5,0.38,0.65,-5.44,0.06,0.02,0.17,0.09
Beyoncé,5,0.77,0.72,-4.7,0.11,0.02,0.12,0.53
Sia,5,0.56,0.71,-5.82,0.07,0.17,0.1,0.52
Shawn Mendes,5,0.49,0.59,-6.91,0.16,0.37,0.13,0.57
Maroon 5,5,0.73,0.74,-4.94,0.04,0.02,0.25,0.67
Cardi B,4,0.82,0.63,-6.37,0.27,0.04,0.21,0.5
Jorja Smith,4,0.64,0.88,-5.2,0.08,0.0,0.29,0.81
Tyga,4,0.97,0.79,-4.64,0.26,0.0,0.08,0.79
Kylie Minogue,4,0.71,0.5,-7.53,0.14,0.48,0.14,0.56
Ella Fitzgerald,4,0.54,0.39,-10.02,0.05,0.75,0.22,0.74
Daughter of the Moon,4,0.42,0.12,-12.3,0.04,0.94,0.1,0.38
Shakira,4,0.78,0.8,-5.68,0.15,0.14,0.19,0.74
Drake,4,0.71,0.57,-8.13,0.23,0.23,0.21,0.14
Jason Derulo,4,0.66,0.74,-5.63,0.17,0.04,0.22,0.64
Jacob Collier,4,0.46,0.55,-7.09,0.07,0.84,0.11,0.47
RAYE,4,0.49,0.76,-5.35,0.16,0.11,0.09,0.31
Heuss L'enfoiré,4,0.68,0.77,-4.51,0.17,0.24,0.11,0.48
Paramore,4,0.6,0.92,-3.76,0.04,0.01,0.06,0.76
Ava Max,4,0.59,0.72,-4.18,0.08,0.23,0.09,0.43
Jonas Brothers,3,0.64,0.6,-5.77,0.06,0.23,0.09,0.58
Wham!,3,0.74,0.48,-12.47,0.03,0.19,0.36,0.95
KAMRAD,3,0.72,0.79,-6.95,0.03,0.16,0.44,0.89
White 2115,3,0.76,0.59,-8.57,0.12,0.3,0.1,0.46
JVKE,3,0.52,0.59,-4.8,0.03,0.65,0.25,0.15
Gunna,3,0.85,0.62,-6.75,0.09,0.12,0.28,0.22
Karolina Sobańska,3,0.24,0.39,-10.87,0.04,0.8,0.38,0.08
Troy,3,0.78,0.77,-6.67,0.08,0.11,0.07,0.4
Stevie Wonder,3,0.49,0.54,-7.82,0.03,0.46,0.23,0.52
The Jackson 5,3,0.64,0.74,-6.54,0.04,0.34,0.5,0.79
Marshmello,3,0.63,0.82,-2.72,0.05,0.02,0.43,0.46
Nelly,3,0.53,0.75,-6.16,0.03,0.04,0.12,0.1
Nat King Cole,3,0.44,0.27,-12.78,0.03,0.87,0.13,0.44
Myke Towers,3,0.71,0.74,-4.04,0.04,0.07,0.1,0.61
Mitchell Tenpenny,3,0.5,0.8,-3.77,0.06,0.2,0.09,0.41
