endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
2023-12-11 14:28:00,Oxxxymiron,Прекрасное Далёко,204714,0.694,0.794,11,-6.526,0,0.128,0.193,0.0,0.286,0.401,145.957,36IkbFaCpRF8tO29rQJuJa,204715,"russian grime, russian hip hop, russian trap, russian gangster rap"
2023-12-11 14:31:00,Oxxxymiron,Лига Опасного Интернета,140134,0.848,0.677,10,-5.386,0,0.108,0.155,0.000543,0.161,0.732,129.988,7B4napIhOn1s4qnwgcXBCl,140135,"russian grime, russian hip hop, russian trap"
2023-12-11 14:33:00,Noize MC,Страна дождей,138352,0.398,0.759,11,-6.273,0,0.333,0.127,0.0,0.262,0.4,170.114,6RdIfGSeUtXA68K9CmTnPu,138353,"russian hip hop, russian reggae, russian rock"
2023-12-11 14:36:00,Schokk,Мысли пачкают мозги,192327,0.572,0.913,7,-3.915,0,0.413,0.0972,0.0,0.142,0.581,150.087,0FK6SNxnZoaPpx3fculDL5,192328,"russian grime, russian trap, russian grime, russian hip hop, russian trap"
2023-12-11 14:38:00,BOOKER,Быть артистом,112285,0.707,0.668,2,-6.301,1,0.324,0.186,2.79e-05,0.116,0.625,163.988,2trVJALaTJmDOStgd9WJOW,112286,"russian grime, russian trap"
2023-12-11 14:49:00,Husky,Черным-черно,39752,0.702,0.695,8,-8.882,1,0.191,0.1,0.0,0.637,0.724,115.014,6wFWsmyG4D2Mte0iWbqiYr,189913,"russian hip hop, russian trap"
2023-12-11 14:52:00,Husky,Черным-черно,52984,0.702,0.695,8,-8.882,1,0.191,0.1,0.0,0.637,0.724,115.014,6wFWsmyG4D2Mte0iWbqiYr,189913,"russian hip hop, russian trap"
2023-12-11 14:54:00,BOOKER,Быть артистом,112285,0.707,0.668,2,-6.301,1,0.324,0.186,2.79e-05,0.116,0.625,163.988,2trVJALaTJmDOStgd9WJOW,112286,"russian grime, russian trap"
2023-12-11 14:54:00,Husky,Черным-черно,28647,0.702,0.695,8,-8.882,1,0.191,0.1,0.0,0.637,0.724,115.014,6wFWsmyG4D2Mte0iWbqiYr,189913,"russian hip hop, russian trap"
2023-12-11 14:55:00,Krovostok,Пожар,20312,0.932,0.541,2,-10.014,1,0.256,0.0836,0.00117,0.127,0.0783,140.041,2HP7Rr0A1UKLZu8T0ipGNl,131143,"kavkaz, russian electronic, russian gangster rap, russian hip hop, russian trap"
2023-12-11 14:57:00,Oxxxymiron,Больше Бена,136000,0.635,0.805,3,-6.161,0,0.372,0.0415,0.0,0.0606,0.886,88.763,3zpcgoZOwtvgoGpc3nxd24,136000,"russian grime, russian hip hop, russian trap"
2023-12-11 15:00:00,Noize MC,Yes Future!,189173,0.506,0.944,9,-3.067,1,0.317,0.115,0.0,0.167,0.734,129.993,7KLFIro2lZ9VWrsOe89zBL,189173,"russian hip hop, russian reggae, russian rock"
2023-12-11 15:06:00,Schokk,Сага об орлах и канарейках,340793,0.529,0.818,6,-3.422,0,0.379,0.201,0.0,0.233,0.539,83.187,4Z6eWm0uqqW4ym7etfL5qO,340793,"russian grime, russian trap, russian grime, russian hip hop, russian trap"
2023-12-11 15:08:00,PORCHY,Flashback,12733,0.404,0.979,2,-3.041,1,0.459,0.0725,0.0,0.323,0.396,81.33,6ZVwcPblngaIBM5XwArp6u,178329,"russian grime, russian grime, russian hip hop, russian trap"
2023-12-11 15:08:00,Брутто,Бандит,2838,0.654,0.427,10,-9.811,0,0.443,0.353,6.45e-06,0.114,0.368,177.994,47m4V84in5LBz0BbMvseUO,179073,russian gangster rap
2023-12-11 15:08:00,Oxxxymiron,Хитиновый покров,4490,0.65,0.653,4,-7.902,0,0.292,0.00948,0.000121,0.455,0.295,92.907,6iDGZJolZoqGC4RBGt9MD8,187744,"russian grime, russian hip hop, russian trap"
2023-12-11 15:08:00,Noize MC,Вояджер-1,5127,0.63,0.729,2,-7.95,0,0.06,0.132,0.0,0.399,0.481,125.004,3kHekPoBqhrtygE7wgwT2u,214556,"russian hip hop, russian reggae, russian rock"
2023-12-11 15:08:00,Schokk,"То густо, то пусто",3115,0.485,0.837,8,-7.177,1,0.433,0.122,0.0,0.114,0.729,168.139,0rBVbLgFvNZNQ9p8Ioodd8,217208,"russian grime, russian trap, russian grime, russian hip hop, russian trap"
