endTime,artistName,trackName,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,genre
2023-12-10 08:30:00,Taylor Swift,This Love (Taylor’s Version),4973,0.474,0.511,1,-8.766,0,0.0339,0.299,0.0,0.0673,0.0586,144.022,5QVVjX0ZItqlVpEuVCM9Yg,250100,pop
2023-12-10 08:30:00,Taylor Swift,Mine (Taylor's Version),179699,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,7G0gBu6nLdhFDPRLc0HdDG,231707,pop
2023-12-10 08:31:00,Taylor Swift,Mine (Taylor's Version),61120,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,7G0gBu6nLdhFDPRLc0HdDG,231707,pop
2023-12-10 08:35:00,Taylor Swift,How You Get The Girl (Taylor's Version),247533,0.754,0.682,5,-5.789,1,0.0565,0.00209,9.88e-06,0.0941,0.547,120.027,75W3SngKzTuoQ94uLf3y82,247533,pop
2023-12-10 08:36:00,Demi Lovato,Met Him Last Night,4478,0.538,0.512,4,-4.548,0,0.0262,0.22,0.0,0.101,0.12,144.978,0BI0hfbmqybnd3TezrDME3,204632,"pop, post-teen pop, pop"
2023-12-10 08:36:00,Taylor Swift,Mine (Taylor's Version),980,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,7G0gBu6nLdhFDPRLc0HdDG,231707,pop
2023-12-10 08:38:00,Jack Harlow,Lovin On Me,138411,0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,4xhsWYTOGcal8zt0J161CU,138411,"deep underground hip hop, kentucky hip hop, pop rap, rap"
2023-12-10 08:42:00,Taylor Swift,This Love (Taylor’s Version),30262,0.474,0.511,1,-8.766,0,0.0339,0.299,0.0,0.0673,0.0586,144.022,5QVVjX0ZItqlVpEuVCM9Yg,250100,pop
2023-12-10 08:42:00,Taylor Swift,Mine (Taylor's Version),231706,0.646,0.783,7,-2.846,1,0.0356,0.00444,1.38e-06,0.171,0.49,121.08,7G0gBu6nLdhFDPRLc0HdDG,231707,pop
2023-12-10 08:44:00,Aliyah's Interlude,IT GIRL,113880,0.969,0.707,1,-5.509,1,0.258,0.00822,0.0,0.314,0.421,124.991,4wQmwPWCUn6gi11Gep2qsP,161760,
