endTime,genre,count
2023-12-11,electronica,1
2023-12-11,hip hop,17
2023-12-11,kavkaz,1
2023-12-11,pop,1
2023-12-11,punk,1
2023-12-11,rap,16
2023-12-11,reggae,3
2023-12-11,rock,4
2023-12-11,russian grime,11
2023-12-12,electronica,3
2023-12-12,hip hop,128
2023-12-12,indie,3
2023-12-12,kavkaz,9
2023-12-12,pop,19
2023-12-12,punk,1
2023-12-12,rap,113
2023-12-12,reggae,20
2023-12-12,rock,24
2023-12-12,russian grime,52
2023-12-13,electronica,2
2023-12-13,hip hop,40
2023-12-13,kavkaz,3
2023-12-13,pop,7
2023-12-13,rap,32
2023-12-13,reggae,1
2023-12-13,rock,1
2023-12-13,russian grime,21
2023-12-14,electronica,10
2023-12-14,hip hop,116
2023-12-14,indie,5
2023-12-14,kavkaz,13
2023-12-14,pop,21
2023-12-14,punk,13
2023-12-14,rap,100
2023-12-14,reggae,6
2023-12-14,rock,22
2023-12-14,russian grime,60
2023-12-15,electronica,1
2023-12-15,hip hop,36
2023-12-15,kavkaz,2
2023-12-15,pop,7
2023-12-15,punk,4
2023-12-15,rap,25
2023-12-15,reggae,1
2023-12-15,rock,6
2023-12-15,russian grime,15
2023-12-16,hip hop,17
2023-12-16,rap,17
2023-12-16,russian grime,17
2023-12-17,hip hop,18
2023-12-17,kavkaz,1
2023-12-17,rap,17
2023-12-17,reggae,1
2023-12-17,rock,2
2023-12-17,russian grime,11
2023-12-18,electronica,2
2023-12-18,hip hop,72
2023-12-18,indie,1
2023-12-18,kavkaz,5
2023-12-18,pop,8
2023-12-18,punk,2
2023-12-18,rap,64
2023-12-18,reggae,2
2023-12-18,rock,11
2023-12-18,russian grime,32
2023-12-19,electronica,2
2023-12-19,hip hop,24
2023-12-19,indie,1
2023-12-19,kavkaz,2
2023-12-19,pop,1
2023-12-19,rap,21
2023-12-19,reggae,3
2023-12-19,rock,3
2023-12-19,russian grime,14
2023-12-20,electronica,7
2023-12-20,hip hop,71
2023-12-20,indie,3
2023-12-20,kavkaz,6
2023-12-20,pop,9
2023-12-20,punk,8
2023-12-20,rap,54
2023-12-20,reggae,5
2023-12-20,rock,14
2023-12-20,russian grime,42
2023-12-22,electronica,1
2023-12-22,hip hop,23
2023-12-22,indie,1
2023-12-22,kavkaz,4
2023-12-22,pop,7
2023-12-22,punk,1
2023-12-22,rap,18
2023-12-22,rock,5
2023-12-22,russian grime,11
2023-12-23,electronica,1
2023-12-23,hip hop,18
2023-12-23,kavkaz,3
2023-12-23,pop,2
2023-12-23,punk,1
2023-12-23,rap,15
2023-12-23,rock,2
2023-12-23,russian grime,10
2023-12-24,hip hop,2
2023-12-24,indie,1
2023-12-24,pop,1
2023-12-24,punk,2
2023-12-24,rap,2
2023-12-24,rock,1
2023-12-24,russian grime,2
2023-12-25,electronica,3
2023-12-25,hip hop,23
2023-12-25,kavkaz,3
2023-12-25,pop,3
2023-12-25,punk,1
2023-12-25,rap,20
2023-12-25,rock,1
2023-12-25,russian grime,9
2023-12-27,hip hop,15
2023-12-27,kavkaz,2
2023-12-27,pop,1
2023-12-27,punk,1
2023-12-27,rap,14
2023-12-27,reggae,3
2023-12-27,rock,2
2023-12-27,russian grime,10
2023-12-29,electronica,1
2023-12-29,hip hop,30
2023-12-29,kavkaz,2
2023-12-29,pop,5
2023-12-29,punk,1
2023-12-29,rap,21
2023-12-29,reggae,1
2023-12-29,rock,4
2023-12-29,russian grime,16
2023-12-31,hip hop,5
2023-12-31,rap,7
2023-12-31,russian grime,6
2024-01-01,electronica,1
2024-01-01,hip hop,22
2024-01-01,kavkaz,1
2024-01-01,pop,5
2024-01-01,punk,1
2024-01-01,rap,20
2024-01-01,reggae,2
2024-01-01,rock,3
2024-01-01,russian grime,15
2024-01-02,electronica,1
2024-01-02,hip hop,4
2024-01-02,indie,1
2024-01-02,pop,1
2024-01-02,punk,1
2024-01-02,rap,4
2024-01-02,rock,3
2024-01-02,russian grime,4
2024-01-04,electronica,2
2024-01-04,hip hop,59
2024-01-04,pop,3
2024-01-04,punk,1
2024-01-04,rap,13
2024-01-04,reggae,49
2024-01-04,rock,50
2024-01-04,russian grime,10
2024-01-05,electronica,3
2024-01-05,hip hop,29
2024-01-05,indie,5
2024-01-05,kavkaz,3
2024-01-05,pop,17
2024-01-05,punk,12
2024-01-05,rap,19
2024-01-05,reggae,11
2024-01-05,rock,40
2024-01-05,russian grime,10
2024-01-06,electronica,2
2024-01-06,hip hop,7
2024-01-06,indie,3
2024-01-06,pop,5
2024-01-06,punk,6
2024-01-06,rap,2
2024-01-06,reggae,4
2024-01-06,rock,13
2024-01-06,russian grime,2
