endTime,genre,count
2023-12-10,alternative rock,1
2023-12-10,hip hop,24
2023-12-10,indie,6
2023-12-10,polish alternative,7
2023-12-10,pop,6
2023-12-10,r&b,3
2023-12-10,rap,26
2023-12-10,rock,7
2023-12-10,soul,1
2023-12-11,alternative rock,2
2023-12-11,hip hop,2
2023-12-11,indie,20
2023-12-11,polish alternative,23
2023-12-11,pop,17
2023-12-11,r&b,3
2023-12-11,rap,3
2023-12-11,rock,23
2023-12-11,soul,3
2023-12-12,hip hop,1
2023-12-12,indie,1
2023-12-12,polish alternative,5
2023-12-12,pop,8
2023-12-12,r&b,1
2023-12-12,rap,4
2023-12-12,rock,2
2023-12-13,alternative rock,4
2023-12-13,indie,2
2023-12-13,pop,4
2023-12-13,r&b,4
2023-12-13,rock,13
2023-12-14,alternative rock,4
2023-12-14,hip hop,6
2023-12-14,indie,7
2023-12-14,polish alternative,6
2023-12-14,pop,18
2023-12-14,r&b,4
2023-12-14,rap,16
2023-12-14,rock,3
2023-12-15,hip hop,4
2023-12-15,indie,28
2023-12-15,polish alternative,3
2023-12-15,pop,11
2023-12-15,rap,13
2023-12-15,rock,2
2023-12-15,soul,2
2023-12-16,alternative rock,12
2023-12-16,hip hop,22
2023-12-16,indie,6
2023-12-16,polish alternative,9
2023-12-16,pop,4
2023-12-16,r&b,3
2023-12-16,rap,20
2023-12-16,rock,39
2023-12-16,soul,1
2023-12-17,afrofuturism,7
2023-12-17,alternative rock,40
2023-12-17,hip hop,10
2023-12-17,indie,55
2023-12-17,polish alternative,12
2023-12-17,pop,39
2023-12-17,r&b,5
2023-12-17,rap,3
2023-12-17,rock,44
2023-12-17,soul,14
2023-12-18,afrofuturism,29
2023-12-18,alternative rock,19
2023-12-18,hip hop,20
2023-12-18,indie,100
2023-12-18,polish alternative,18
2023-12-18,pop,49
2023-12-18,r&b,15
2023-12-18,rap,19
2023-12-18,rock,26
2023-12-18,soul,16
2023-12-19,afrofuturism,1
2023-12-19,alternative rock,7
2023-12-19,hip hop,30
2023-12-19,indie,8
2023-12-19,polish alternative,6
2023-12-19,pop,12
2023-12-19,r&b,9
2023-12-19,rap,33
2023-12-19,rock,18
2023-12-19,soul,2
2023-12-20,afrofuturism,18
2023-12-20,alternative rock,7
2023-12-20,hip hop,62
2023-12-20,indie,14
2023-12-20,polish alternative,1
2023-12-20,pop,12
2023-12-20,r&b,23
2023-12-20,rap,67
2023-12-20,rock,16
2023-12-20,soul,10
2023-12-21,alternative rock,17
2023-12-21,hip hop,2
2023-12-21,indie,23
2023-12-21,polish alternative,2
2023-12-21,pop,8
2023-12-21,rock,17
2023-12-22,indie,2
2023-12-22,pop,3
2023-12-23,afrofuturism,1
