ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,Date
2022-12-15T20:06:14Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,0,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",People Are Strange,The Doors,Strange Days,spotify:track:1Jmqubf9kGkWeYQXQKImL5,,,,remote,endplay,False,True,False,0,False,2022-12-15
2022-12-15T20:08:25Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,130035,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",People Are Strange,The Doors,Strange Days,spotify:track:1Jmqubf9kGkWeYQXQKImL5,,,,clickrow,trackdone,False,False,False,0,False,2022-12-15
2022-12-15T20:10:51Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,145671,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",Break on Through (To the Other Side),The Doors,The Doors,spotify:track:6ToM0uwxtPKo9CMpbPGYvM,,,,trackdone,trackdone,False,False,False,0,False,2022-12-15
2022-12-15T20:11:36Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,44172,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",Roadhouse Blues,The Doors,Morrison Hotel,spotify:track:1Q5kgpp4pmyGqPwNBzkSrw,,,,trackdone,endplay,False,True,False,0,False,2022-12-15
2022-12-15T20:11:59Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,21780,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",L.A. Woman,The Doors,L.A. Woman,spotify:track:6DmfWj5kOa1fX8AwN9byOn,,,,clickrow,endplay,False,True,False,0,False,2022-12-15
2022-12-15T20:16:33Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,264527,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",The Passenger,Iggy Pop,Lust For Life,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,,,,clickrow,logout,False,False,False,0,False,2022-12-15
2022-12-16T18:26:46Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,18551,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",The Passenger,Iggy Pop,Lust For Life,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,,,,remote,trackdone,False,False,False,0,False,2022-12-16
2022-12-16T18:27:04Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,17343,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",Tonight,Iggy Pop,Lust For Life,spotify:track:5VOJ3OFUebaLuNqzJSNeEn,,,,trackdone,endplay,False,True,False,0,False,2022-12-16
2022-12-16T18:27:52Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,46915,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",Herinneringen,Sohn Aelia,Herinneringen,spotify:track:0CMYUXTTTmI6Lwc0opH2XG,,,,clickrow,endplay,False,True,False,0,False,2022-12-16
2022-12-16T18:30:25Z,31l6jhgdp76ocowz7n7mekfnr7em,osx,146223,PL,194.29.137.26,"Mozilla%2F5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_15_7)%20AppleWebKit%2F605.1.15%20(KHTML,%20like%20Gecko)%20Version%2F16.1%20Safari%2F605.1.15",Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),spotify:track:39shmbIHICJ2Wxnk1fPSdz,,,,playbtn,endplay,False,True,False,0,False,2022-12-16
