Date,WeekDay,NumberOfLecturesToday,Tests,Projects,SportActivity,CoffeeCups,Meeting,Productivity,SleepMinutes,EnergyLevelMorning,EnergyLevelEvening,StepsCount,WorkingHours
2023-10-01,Sunday,0,0,0,0,0,0,Low,525,7,4,169,0
2023-10-02,Monday,2,0,0,0,0,0,Medium,450,9,5,9632,0
2023-10-03,Tuesday,4,0,0,1,1,0,High,420,6,6,8760,0
2023-10-04,Wednesday,2,0,0,0,0,0,Medium,510,10,2,4457,0
2023-10-05,Thursday,5,0,0,0,1,0,Medium,420,6,3,6971,0
2023-10-06,Friday,3,0,0,1,0,1,Low,445,8,2,7105,0
2023-10-07,Saturday,0,0,0,1,0,0,High,505,9,1,2727,0
2023-10-08,Sunday,0,0,0,0,0,0,Low,535,7,1,3709,0
2023-10-09,Monday,2,0,0,0,0,0,Medium,235,9,5,3922,0
2023-10-10,Tuesday,4,0,0,1,0,0,High,530,10,6,8249,0
2023-10-11,Wednesday,2,0,1,0,0,0,Medium,320,10,2,4088,0
2023-10-12,Thursday,5,1,0,0,1,0,Medium,440,6,3,7388,0
2023-10-13,Friday,3,0,0,1,0,0,Low,515,8,2,16685,0
2023-10-14,Saturday,0,0,0,0,1,0,High,470,8,2,1460,0
2023-10-15,Sunday,0,0,0,0,0,0,Low,470,7,1,135,0
2023-10-16,Monday,2,0,0,0,0,0,Low,215,5,5,3833,0
2023-10-17,Tuesday,4,0,0,1,0,0,High,530,10,5,5420,0
2023-10-18,Wednesday,2,0,1,0,0,0,Low,230,7,3,4199,0
2023-10-19,Thursday,5,1,1,0,0,0,Medium,245,5,1,7264,0
2023-10-20,Friday,3,0,0,1,0,1,Low,515,8,3,13360,0
2023-10-21,Saturday,0,0,0,0,1,0,Medium,500,9,6,2020,0
2023-10-22,Sunday,0,0,0,0,0,0,High,425,7,7,1293,0
2023-10-23,Monday,2,0,0,0,1,0,Medium,365,10,2,1951,0
2023-10-24,Tuesday,4,1,0,1,0,0,Medium,530,7,4,4512,0
2023-10-25,Wednesday,2,0,1,0,0,0,Low,230,8,3,4075,0
2023-10-26,Thursday,5,1,0,0,0,0,High,245,9,1,4612,0
2023-10-27,Friday,3,0,0,1,0,0,Low,410,8,1,15650,0
2023-10-28,Saturday,0,0,0,0,0,0,Medium,435,9,6,1740,0
2023-10-29,Sunday,0,0,0,0,0,0,Low,495,10,7,1116,0
2023-10-30,Monday,2,0,0,0,1,0,Medium,525,10,2,7797,0
2023-10-31,Tuesday,4,1,0,1,0,0,Medium,215,7,3,5281,0
2023-11-01,Wednesday,0,0,0,0,1,0,Low,520,8,3,9983,0
2023-11-02,Thursday,5,1,0,0,0,0,High,310,8,3,6700,0
2023-11-03,Friday,3,0,0,1,0,0,Medium,430,7,1,12670,0
2023-11-04,Saturday,0,0,0,0,0,1,Medium,505,6,6,334,0
2023-11-05,Sunday,0,0,0,0,0,0,High,460,10,6,493,0
2023-11-06,Monday,2,0,0,0,1,0,Medium,460,7,4,9098,0
2023-11-07,Tuesday,4,2,0,1,0,0,High,205,5,2,9288,0
2023-11-08,Wednesday,2,0,1,0,1,0,Low,520,9,4,3735,0
2023-11-09,Thursday,5,1,1,0,0,0,Medium,220,10,6,9255,0
2023-11-10,Friday,0,0,0,0,1,0,High,235,8,7,437,0
2023-11-11,Saturday,0,0,0,0,0,0,High,505,10,3,1206,0
2023-11-12,Sunday,0,0,0,0,0,0,Medium,490,7,4,862,0
2023-11-13,Monday,2,0,0,0,0,1,Low,415,9,3,6733,0
2023-11-14,Tuesday,4,0,0,1,0,0,High,355,10,1,7170,0
2023-11-15,Wednesday,2,0,1,0,0,0,Low,540,8,1,3860,0
2023-11-16,Thursday,5,1,0,0,0,0,Medium,370,9,6,7058,0
2023-11-17,Friday,3,0,0,1,1,0,High,460,10,7,8326,0
2023-11-18,Saturday,0,0,0,1,0,0,Medium,485,10,3,745,0
2023-11-19,Sunday,0,0,0,0,1,0,Medium,545,8,3,940,0
2023-11-20,Monday,2,0,0,0,0,0,Low,575,9,3,6766,0
2023-11-21,Tuesday,4,2,0,1,0,0,High,255,9,3,5115,0
2023-11-22,Wednesday,2,0,1,0,0,0,Medium,570,8,1,3323,0
2023-11-23,Thursday,5,1,1,0,0,0,Medium,360,7,7,7134,0
2023-11-24,Friday,3,0,0,1,0,0,High,480,10,6,11569,0
2023-11-25,Saturday,0,0,0,0,0,0,Medium,555,8,4,2957,0
2023-11-26,Sunday,0,0,0,0,1,0,Medium,510,6,2,119,0
2023-11-27,Monday,2,0,1,0,1,0,Low,510,9,4,7484,0
2023-11-28,Tuesday,4,1,0,1,2,0,Medium,165,10,6,4268,0
2023-11-29,Wednesday,2,1,1,0,0,0,Low,540,8,7,3718,0
2023-11-30,Thursday,5,2,0,0,0,0,Medium,270,10,3,6683,0
2023-12-01,Friday,3,1,0,1,0,0,Low,430,7,4,9900,0
2023-12-02,Saturday,0,0,0,0,0,0,Medium,455,9,5,2495,0
2023-12-03,Sunday,0,0,0,0,0,0,High,515,6,6,670,0
2023-12-04,Monday,2,0,0,0,0,0,Medium,545,10,2,3216,0
2023-12-05,Tuesday,4,3,0,1,1,0,Medium,225,6,3,6860,0
2023-12-06,Wednesday,2,1,1,0,0,0,Low,540,8,2,4026,0
2023-12-07,Thursday,5,0,0,0,0,0,High,330,9,1,6749,0
2023-12-08,Friday,3,0,0,1,0,1,Low,450,7,1,12261,0
2023-12-09,Saturday,0,0,0,0,0,0,Medium,525,9,5,560,0
2023-12-10,Sunday,0,0,0,0,0,0,High,480,10,6,1589,0
2023-12-11,Monday,2,0,1,0,0,0,Medium,480,10,2,5667,0
2023-12-12,Tuesday,4,0,0,1,1,0,Medium,225,6,3,4926,0
2023-12-13,Wednesday,2,1,1,0,0,0,Low,540,8,2,3909,0
2023-12-14,Thursday,5,1,0,0,1,0,High,240,8,2,4107,0
2023-12-15,Friday,3,0,0,1,0,0,Low,255,7,1,12889,0
2023-12-16,Saturday,0,0,0,0,0,1,Medium,525,5,5,781,0
2023-12-17,Sunday,0,0,0,0,0,0,High,510,10,5,3869,0
2023-12-18,Monday,2,0,1,0,0,0,Medium,435,7,3,2212,0
2023-12-19,Tuesday,4,1,0,1,0,0,Medium,375,5,1,4679,0
2023-12-20,Wednesday,2,0,1,0,0,0,High,535,8,3,6075,0
2023-12-21,Thursday,5,1,0,0,1,0,High,245,9,1,5931,0
2023-12-22,Friday,3,1,0,1,0,0,Medium,545,8,3,1976,0
2023-12-23,Saturday,0,0,0,0,1,0,High,560,10,6,4487,0
2023-12-24,Sunday,0,0,0,0,1,0,Low,245,8,7,2509,0
2023-12-25,Monday,0,0,0,1,1,0,Medium,245,10,3,6005,0
2023-12-26,Tuesday,0,0,0,1,1,0,Low,540,7,4,5892,0
2023-12-27,Wednesday,0,0,0,0,1,0,Medium,475,9,5,3291,0
2023-12-28,Thursday,0,0,0,0,1,1,High,515,6,6,5988,0
2023-12-29,Friday,0,0,0,0,2,1,High,545,10,2,6754,0
2023-12-30,Saturday,0,0,0,1,1,1,Medium,235,6,3,4901,0
2023-12-31,Sunday,0,0,0,0,1,1,Medium,550,8,2,12701,0
