Identyfikator komentarza,Identyfikator kanału,Sygnatura czasowa utworzenia komentarza,Cena,Identyfikator komentarza nadrzędnego,Identyfikator posta,Identyfikator filmu,Tekst komentarza;
"UgylugKwFxmZMmx7qc14AaABAg.9nAidmoLjTL9nD3U15E991,UCbYIDTfcDLcc1A5lPky6kOg,2023-03-13T20:48:06.287567+00:00,0,UgylugKwFxmZMmx7qc14AaABAg,,V47wkOg__b0,""{""""text"""":""""@Yáruzěl"""",""""mention"""":{""""externalChannelId"""":""""UC38epTNG6y8Den5buUsF7Mw""""}},{""""text"""":"""" ja w zasadzie teraz liczę na wycofanie się Polski w tym roku z konkursu""""}""";
"UgylugKwFxmZMmx7qc14AaABAg.9nAidmoLjTL9nBoDq_QBHK,UCbYIDTfcDLcc1A5lPky6kOg,2023-03-13T09:06:50.710275+00:00,0,UgylugKwFxmZMmx7qc14AaABAg,,V47wkOg__b0,""{""""text"""":""""Niestety juz jest za późno""""}""";
"UgzCjanGtFJ4r4zeaCR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2023-03-06T21:51:42.79588+00:00,0,,,ANM4CwbE0Is,""{""""text"""":""""„It will take more than just a pretty face to top that” 🖤⛓🖤""""}""";
"UgwWQ1xpBWu-JuRK_CJ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2023-03-03T21:29:27.553294+00:00,0,,,ANM4CwbE0Is,""{""""text"""":""""Jann is true polish representant, not her""""}""";
"UgxvrFPpwM08AtnHev94AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2023-02-26T22:59:38.650838+00:00,0,,,ODdvyPWGxSs,""{""""text"""":""""Nie no, kocham totalnie 🖤🖤🖤🖤""""}""";
"Ugytn_Za1jHVoVcWQaZ4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-09-12T21:43:48.234177+00:00,0,,,K17df81RL9Y,""{""""text"""":""""Some moments of the song sound just like Alexander Rybak’s song „that’s How you write a song”""""}""";
"Ugymh7FUHEuQWD3OHmR4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-05-15T08:44:55.521785+00:00,0,,,jRVDZ6446eM,""{""""text"""":""""Real winner 🌊💙🌊💙🌊""""}""";
"Ugxi1Khk8ZcZeQTKrs14AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-04-01T12:32:35.049447+00:00,0,,,qgukml7zDAA,""{""""text"""":""""This „ lock me in, lock me out” part gives me the Beatles vibes""""}""";
"UgwvUoh1zFxB_6fEDZV4AaABAg,UCbYIDTfcDLcc1A5lPky6kOg,2022-02-26T21:40:34.096548+00:00,0,,,KjuFVEi5S4I,""{""""text"""":""""Brawo, robisz dobrą robotę tymi filmikami 🙏""""}""";
