com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4332,4,0,8,2023-12-17 08:22:00.000,,,2023-12-17 08:33:00.167,2023-12-17 08:22:47.407,8,1.405786,6.09,0.26999998,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 08:23:00.000,b0586bbb-954a-4516-9398-88e92edc54e0,
8564,4,0,15,2023-12-17 08:33:00.000,,,2023-12-17 08:35:01.579,2023-12-17 08:33:07.793,15,1.3310461,11.4,0.53,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 08:34:00.000,a2dc9c86-6451-4e6f-9241-9f4d265d4f86,
37322,4,0,68,2023-12-17 08:56:00.000,,,2023-12-17 08:56:59.546,2023-12-17 08:56:31.566,68,1.3809385,51.539963,2.6299987,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 08:57:00.000,bc433164-6c4a-4623-af52-d0971de96182,
60000,4,0,110,2023-12-17 08:57:00.000,,,2023-12-17 08:57:59.864,2023-12-17 08:57:00.147,110,1.3955,83.729996,4.399997,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 08:58:00.000,9cd3aaad-513a-4e9b-8a90-fed1f3bd6460,
60000,4,0,116,2023-12-17 08:58:00.000,,,2023-12-17 09:00:51.639,2023-12-17 08:58:00.489,116,1.4851669,89.110016,3.9499984,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 08:59:00.000,7a71144d-bad8-4801-99df-80b28438b934,
59084,4,0,90,2023-12-17 08:59:00.000,,,2023-12-17 09:00:51.706,2023-12-17 09:00:51.706,109,1.3611112,80.42,4.07,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:00:00.000,697c0f4e-bff4-4388-abba-69745ae157c9,
13646,4,0,4,2023-12-17 09:00:00.000,,,2023-12-17 09:00:51.727,2023-12-17 09:00:51.727,42,1.4722222,20.09,1.34,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:01:00.000,3a11f5cf-2e30-4fad-8cf1-634ad0912859,
43057,4,0,57,2023-12-17 09:14:00.000,,,2023-12-17 09:15:01.336,2023-12-17 09:15:01.336,83,1.3333334,57.41,4.32,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:15:00.000,674b1076-3a1d-4d88-b865-34a6881f7a5c,
58606,4,0,95,2023-12-17 09:15:00.000,,,2023-12-17 09:21:14.833,2023-12-17 09:21:14.833,109,1.3611112,79.77,5.22,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:16:00.000,5b0756fe-ee2e-45d0-a4ec-f2c9b3ad942b,
60000,4,0,110,2023-12-17 09:16:00.000,,,2023-12-17 09:21:14.885,2023-12-17 09:21:14.885,110,1.3963335,83.78,4.37,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:17:00.000,330cc739-4bd9-4714-9060-3eff324e8eb6,
60000,4,0,111,2023-12-17 09:17:00.000,,,2023-12-17 09:21:14.930,2023-12-17 09:21:14.930,112,1.4286666,85.72,4.27,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:18:00.000,7eb224bb-6fa5-499c-84ae-ff93574da520,
47257,4,0,53,2023-12-17 09:18:00.000,,,2023-12-17 09:21:14.983,2023-12-17 09:21:14.983,102,1.3333334,63.01,7.44,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:19:00.000,59ce164c-c699-4322-ab30-d1d2009207f7,
31131,4,0,30,2023-12-17 09:19:00.000,,,2023-12-17 09:21:15.013,2023-12-17 09:21:15.013,68,1.1666666,36.32,7.12,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 09:20:00.000,3097d63b-4337-4c95-b2fe-ced505c7b067,
