"","date","weekday","name","amount"
"1","2023.12.07","Thursday","Gentleman1",1000
"2","2023.12.08","Friday","Gentleman1",1250
"3","2023.12.09","Saturday","Gentleman1",1750
"4","2023.12.10","Sunday","Gentleman1",2000
"5","2023.12.11","Monday","Gentleman1",1750
"6","2023.12.12","Tuesday","Gentleman1",1500
"7","2023.12.13","Wednesday","Gentleman1",1750
"8","2023.12.14","Thursday","Gentleman1",2000
"9","2023.12.15","Friday","Gentleman1",1500
"10","2023.12.16","Saturday","Gentleman1",2000
"11","2023.12.17","Sunday","Gentleman1",2250
"12","2023.12.18","Monday","Gentleman1",1000
"13","2023.12.19","Tuesday","Gentleman1",2000
"14","2023.12.20","Wednesday","Gentleman1",2000
"15","2023.12.21","Thursday","Gentleman1",2500
"16","2023.12.22","Friday","Gentleman1",1500
"17","2023.12.23","Saturday","Gentleman1",1750
"18","2023.12.24","Sunday","Gentleman1",1250
"19","2023.12.25","Monday","Gentleman1",1250
"20","2023.12.26","Tuesday","Gentleman1",1250
"21","2023.12.27","Wednesday","Gentleman1",1750
"22","2023.12.28","Thursday","Gentleman1",1750
"23","2023.12.29","Friday","Gentleman1",1750
"24","2023.12.30","Saturday","Gentleman1",1250
"25","2023.12.31","Sunday","Gentleman1",1000
"26","2024.01.01","Monday","Gentleman1",1500
"27","2024.01.02","Tuesday","Gentleman1",1500
"28","2024.01.03","Wednesday","Gentleman1",2000
"29","2024.01.04","Thursday","Gentleman1",1500
"30","2024.01.05","Friday","Gentleman1",1500
"31","2024.01.06","Saturday","Gentleman1",1750
"32","2024.01.07","Sunday","Gentleman1",2000
"33","2024.01.08","Monday","Gentleman1",2000
"34","2024.01.09","Tuesday","Gentleman1",1250
"35","2024.01.10","Wednesday","Gentleman1",1250
"36","2024.01.11","Thursday","Gentleman1",1250
"37","2024.01.12","Friday","Gentleman1",2000
"38","2024.01.13","Saturday","Gentleman1",2000
"39","2024.01.14","Sunday","Gentleman1",2000
"40","2024.01.15","Monday","Gentleman1",1000
"41","2024.01.16","Tuesday","Gentleman1",1250
"42","2024.01.17","Wednesday","Gentleman1",2000
"43","2024.01.18","Thursday","Gentleman1",1750
"44","2023.12.07","Thursday","Gentleman2",1250
"45","2023.12.08","Friday","Gentleman2",1500
"46","2023.12.09","Saturday","Gentleman2",2000
"47","2023.12.10","Sunday","Gentleman2",1500
"48","2023.12.11","Monday","Gentleman2",1500
"49","2023.12.12","Tuesday","Gentleman2",2000
"50","2023.12.13","Wednesday","Gentleman2",1750
"51","2023.12.14","Thursday","Gentleman2",1500
"52","2023.12.15","Friday","Gentleman2",1500
"53","2023.12.16","Saturday","Gentleman2",1250
"54","2023.12.17","Sunday","Gentleman2",2000
"55","2023.12.18","Monday","Gentleman2",1250
"56","2023.12.19","Tuesday","Gentleman2",1250
"57","2023.12.20","Wednesday","Gentleman2",2000
"58","2023.12.21","Thursday","Gentleman2",1000
"59","2023.12.22","Friday","Gentleman2",1500
"60","2023.12.23","Saturday","Gentleman2",1000
"61","2023.12.24","Sunday","Gentleman2",1250
"62","2023.12.25","Monday","Gentleman2",1500
"63","2023.12.26","Tuesday","Gentleman2",2000
"64","2023.12.27","Wednesday","Gentleman2",1500
"65","2023.12.28","Thursday","Gentleman2",1000
"66","2023.12.29","Friday","Gentleman2",1500
"67","2023.12.30","Saturday","Gentleman2",1750
"68","2023.12.31","Sunday","Gentleman2",1750
"69","2024.01.01","Monday","Gentleman2",1500
"70","2024.01.02","Tuesday","Gentleman2",2000
"71","2024.01.03","Wednesday","Gentleman2",1750
"72","2024.01.04","Thursday","Gentleman2",1500
"73","2024.01.05","Friday","Gentleman2",2000
"74","2024.01.06","Saturday","Gentleman2",1250
"75","2024.01.07","Sunday","Gentleman2",1750
"76","2024.01.08","Monday","Gentleman2",1250
"77","2024.01.09","Tuesday","Gentleman2",1750
"78","2024.01.10","Wednesday","Gentleman2",1250
"79","2024.01.11","Thursday","Gentleman2",1500
"80","2024.01.12","Friday","Gentleman2",1500
"81","2024.01.13","Saturday","Gentleman2",1000
"82","2024.01.14","Sunday","Gentleman2",1250
"83","2024.01.15","Monday","Gentleman2",1000
"84","2024.01.16","Tuesday","Gentleman2",2000
"85","2024.01.17","Wednesday","Gentleman2",1500
"86","2024.01.18","Thursday","Gentleman2",1750
"87","2023.12.06","Wednesday","Gentleman3",1500
"88","2023.12.07","Thursday","Gentleman3",1500
"89","2023.12.08","Friday","Gentleman3",2000
"90","2023.12.09","Saturday","Gentleman3",1500
"91","2023.12.10","Sunday","Gentleman3",2000
"92","2023.12.11","Monday","Gentleman3",1250
"93","2023.12.15","Friday","Gentleman3",500
"94","2023.12.19","Tuesday","Gentleman3",1000
"95","2024.01.07","Sunday","Gentleman3",1500
