"person","date"
"f",2023-12-13
"f",2023-12-12
"f",2023-12-09
"f",2023-12-04
"f",2023-12-02
"f",2023-11-30
"f",2023-11-29
"f",2023-11-29
"f",2023-11-26
"f",2023-11-26
"f",2023-11-26
"f",2023-11-24
"f",2023-11-24
"f",2023-11-22
"f",2023-11-22
"f",2023-11-20
"f",2023-11-19
"f",2023-11-19
"f",2023-11-19
"f",2023-11-19
"f",2023-11-15
"f",2023-11-06
"f",2023-11-06
"f",2023-11-06
"f",2023-11-03
"f",2023-10-21
"f",2023-10-19
"f",2023-10-14
"f",2023-10-05
"f",2023-10-04
"f",2023-09-16
"f",2023-09-16
"f",2023-09-16
"f",2023-09-10
"f",2023-08-14
"f",2023-08-09
"f",2023-06-13
"f",2023-06-12
"f",2023-06-02
"f",2023-06-01
"f",2023-05-26
"f",2023-05-18
"f",2023-05-14
"f",2023-05-13
"f",2023-05-02
"f",2023-05-02
"f",2023-04-27
"f",2023-04-22
"f",2023-03-30
"f",2023-03-21
"f",2023-03-16
"f",2023-01-30
"f",2023-01-26
"f",2023-01-19
"f",2022-12-14
"f",2022-12-09
"f",2022-12-04
"f",2022-11-27
"f",2022-11-17
"f",2022-11-13
"f",2022-11-13
"f",2022-11-12
"f",2022-11-09
"f",2022-11-08
"f",2022-11-05
"f",2022-11-05
"f",2022-11-02
"f",2022-11-01
"f",2022-11-01
"f",2022-10-31
"f",2022-10-27
"f",2022-10-26
"f",2022-10-19
"f",2022-10-19
"f",2022-10-19
"f",2022-10-19
"f",2022-10-19
"f",2022-10-17
"f",2022-10-17
"f",2022-10-15
"f",2022-10-14
"f",2022-10-13
"f",2022-10-11
"f",2022-10-09
"f",2022-10-09
"f",2022-10-09
"f",2022-10-07
"f",2022-10-06
"f",2022-10-05
"f",2022-10-04
"f",2022-10-04
"f",2022-10-04
"f",2022-10-04
"f",2022-10-03
"f",2022-10-03
"f",2022-10-02
"f",2022-10-02
"f",2022-10-02
"f",2022-09-30
"f",2022-09-26
"f",2022-09-26
"f",2022-09-26
"f",2022-09-26
"f",2022-09-26
"f",2022-09-26
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-25
"f",2022-09-24
"f",2022-09-24
"f",2022-09-24
"f",2022-09-24
"f",2022-09-24
"f",2022-09-23
"f",2022-09-22
"f",2022-09-21
"f",2022-09-20
"f",2022-09-14
"f",2022-09-13
"f",2022-09-12
"f",2022-09-11
"f",2022-09-11
"f",2022-09-11
"f",2022-09-11
"f",2022-09-11
"f",2022-09-11
"f",2022-09-02
"f",2022-08-28
"f",2022-08-12
"f",2022-08-04
"f",2022-08-02
"f",2022-07-15
"f",2022-07-04
"f",2022-07-01
"f",2022-06-26
"f",2022-06-20
"f",2022-06-20
"f",2022-06-20
"f",2022-06-20
"f",2022-06-18
"f",2022-06-18
"f",2022-06-16
"f",2022-05-30
"f",2022-05-29
"f",2022-05-29
"f",2022-05-25
"f",2022-05-20
"f",2022-05-17
"f",2022-05-17
"f",2022-05-16
"f",2022-05-13
"f",2022-05-12
"f",2022-04-30
"f",2022-04-24
"f",2022-04-12
"f",2022-04-07
"f",2022-04-06
"f",2022-03-29
"f",2022-01-16
"f",2022-01-16
"f",2022-01-01
"f",2021-12-28
"f",2021-12-12
"f",2021-09-14
"f",2021-08-07
"f",2021-06-15
"f",2021-06-07
"f",2021-05-27
"f",2021-03-05
"f",2021-02-03
"f",2020-12-05
"f",2020-11-24
"f",2020-10-10
"f",2020-10-05
"f",2020-09-20
"f",2020-08-21
"f",2020-08-02
"f",2020-07-29
"f",2020-07-12
"f",2020-07-04
"f",2020-06-20
"f",2020-06-13
"f",2020-05-12
"f",2020-05-10
"f",2020-04-18
"f",2020-03-26
"f",2020-03-21
"f",2020-03-09
"f",2020-02-26
"f",2020-02-24
"f",2020-02-21
"f",2020-02-07
"f",2020-02-03
"f",2020-02-01
"f",2020-01-30
"f",2020-01-29
"f",2019-12-20
"f",2019-10-28
"f",2019-10-27
"f",2019-10-23
"f",2019-10-23
"f",2019-10-13
"f",2019-10-12
"f",2019-10-04
"f",2019-09-27
"f",2019-09-25
"f",2019-09-24
"f",2019-09-24
"f",2019-09-20
"f",2019-09-12
"f",2019-09-11
"f",2019-09-11
"f",2019-09-10
"f",2019-09-10
"f",2019-09-10
"f",2019-09-10
"f",2019-09-10
"f",2019-09-09
"f",2019-09-07
"f",2019-09-06
"f",2019-09-05
"f",2019-09-05
"f",2019-09-04
"f",2019-09-01
"f",2019-08-31
"f",2019-08-30
"f",2019-08-30
"f",2019-08-30
"f",2019-08-29
"f",2019-08-29
"f",2019-08-29
"f",2019-08-29
"f",2019-08-29
"f",2019-08-29
"f",2019-08-29
"f",2019-08-28
"f",2019-08-28
"f",2019-08-28
"f",2019-08-27
"f",2019-08-27
"f",2019-08-26
"f",2019-08-26
"f",2019-08-26
"f",2019-08-26
"f",2019-08-25
"f",2019-08-18
"f",2019-07-27
"f",2019-07-23
"f",2019-07-19
"f",2019-07-19
"f",2019-07-18
"f",2019-07-16
"f",2019-07-13
"f",2019-07-12
"f",2019-07-12
"f",2019-07-12
"f",2019-07-11
"f",2019-07-11
"f",2019-07-11
"f",2019-07-11
"f",2019-07-09
"f",2019-07-05
"f",2019-07-04
"f",2019-07-04
"f",2019-06-30
"f",2019-06-28
"f",2019-06-28
"f",2019-06-12
"f",2019-06-02
"f",2019-06-01
"f",2019-06-01
"f",2019-06-01
"f",2019-06-01
"f",2019-05-31
"f",2019-05-31
"f",2019-05-31
"f",2019-05-27
"f",2019-05-25
"f",2019-05-25
"f",2019-05-12
"f",2019-05-11
"f",2019-04-19
"f",2019-03-15
"f",2019-03-15
"f",2019-03-15
"f",2019-03-15
"f",2019-02-27
"f",2019-02-19
"f",2019-02-17
"f",2019-02-15
"f",2019-02-14
"f",2019-02-13
"f",2019-02-11
"f",2019-02-11
"f",2019-02-09
"f",2019-01-22
"f",2019-01-16
"f",2018-12-30
"f",2018-12-10
"f",2018-11-13
"f",2018-11-05
"f",2018-11-05
"f",2018-11-04
"f",2018-11-04
"f",2018-11-03
"f",2018-10-17
"f",2018-10-14
"f",2018-09-06
"f",2018-09-02
"f",2018-08-20
"f",2018-08-10
"f",2018-07-20
"f",2018-07-17
"f",2018-07-17
"f",2018-07-13
"f",2018-07-09
"f",2018-07-01
"f",2018-05-16
"f",2018-04-12
"f",2018-03-30
"f",2018-02-23
"f",2018-02-22
"f",2018-02-05
"f",2018-02-03
"f",2018-01-20
"f",2018-01-18
"f",2018-01-17
"f",2018-01-15
"f",2018-01-08
"f",2017-10-29
"f",2017-10-13
"f",2017-10-12
"f",2017-10-06
"f",2017-09-17
"f",2017-08-31
"f",2017-08-20
"f",2017-07-23
"f",2017-07-14
"f",2017-07-12
"f",2017-07-02
"f",2017-06-16
"f",2017-06-14
"f",2017-06-14
"f",2017-05-29
"f",2017-05-28
"f",2017-05-26
"f",2017-05-22
"f",2017-05-21
"f",2017-05-20
"f",2017-05-20
"f",2017-05-19
"f",2017-05-10
"f",2017-05-10
"f",2017-05-09
"f",2017-03-26
"f",2017-03-25
"f",2017-03-23
"f",2017-03-18
"f",2017-03-14
"f",2017-03-12
"f",2017-03-10
"f",2017-03-03
"f",2017-02-20
"f",2017-02-08
"f",2017-01-30
"f",2017-01-16
"f",2017-01-14
"f",2017-01-11
"f",2016-12-29
"f",2016-11-21
"f",2016-11-16
"f",2016-11-14
"f",2016-11-02
"f",2016-11-01
"f",2016-10-31
"f",2016-10-31
"f",2016-10-30
"f",2016-10-25
"f",2016-10-24
"f",2016-10-19
"f",2016-10-17
"f",2016-10-17
"f",2016-10-17
"f",2016-10-16
"f",2016-10-16
"f",2016-10-16
"f",2016-10-16
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-15
"f",2016-10-14
"f",2016-10-14
"f",2016-10-14
"f",2016-10-14
"f",2016-10-13
"a",2023-12-17
"a",2023-12-17
"a",2023-12-03
"a",2023-12-03
"a",2023-11-28
"a",2023-11-04
"a",2023-11-03
"a",2023-11-02
"a",2023-10-30
"a",2023-10-29
"a",2023-10-22
"a",2023-10-17
"a",2023-10-16
"a",2023-10-15
"a",2023-10-15
"a",2023-10-14
"a",2023-10-08
"a",2023-10-05
"a",2023-10-05
"a",2023-10-03
"a",2023-10-03
"a",2023-10-03
"a",2023-10-03
