"","Data","Posiłek","Kalorie","Kwasy.tłuszczowe.nasycone","Tłuszcze.wielonienasycone","Tłuszcze.jednonienasycone","Tłuszcze.trans","Cholesterol","Sód..mg.","Potas","Błonnik","Cukier","Witamina.A","Witamina.C","Wapń","Żelazo","export_headers.note","Tluszcze..g.","Weglowodany..g.","Bialko..g."
"1","2024-01-02","Obiad",595,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,17.5,63,49
"2","2024-01-02","Przekąski",4,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,NA,0.2,0.6,0.3
"3","2024-01-02","Śniadanie",253.8,4.8,0,0,0,0,0,0,0,0.6,0,0,0,0,NA,17.2,35.6,5.6
"4","2024-01-03","Kolacja",166.6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8.4,35,4.3
"5","2024-01-03","Obiad",354,0.2,0,0,0,0,0,0,0.9,0,0,0,0,0,NA,0.8,79.9,6.8
"6","2024-01-03","Śniadanie",13,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,2.8,0.5
"7","2024-01-04","Kolacja",459.8,4.9,3.6,6.6,0.9,415.5,217.5,198,0,2.1,16.5,0,9,10.5,NA,29.8,37.8,24.1
"8","2024-01-04","Przekąski",130,3,0,0,0,0,136,0,0,11,0,0,0,0,NA,6.8,13.8,3
"9","2024-01-04","Śniadanie",537.9,1.4,0,0,0,0,0,0,0,0,0,0,0,0,NA,36.1,52.5,25.3
"10","2024-01-05","Obiad",833,0.6,0,0,0,0,0,0,3.2,0.1,0,0,0,0,NA,38.9,83.2,41.4
"11","2024-01-05","Przekąski",557.3,2.6,0,0,0,0,0,0,2.1,2.7,0,0,0,0,NA,22.7,55.5,10.8
"12","2024-01-05","Śniadanie",443.5,3.4,0,0,0,0,0,0,0,0.6,0,0,0,0,NA,28.2,53.9,17.3
"13","2024-01-06","Kolacja",720.6,12.6,7.7,14.7,1.2,554,291.1,264,0,2.8,22,0,12,14,NA,54,40.4,32.2
"14","2024-01-06","Obiad",612,0.6,0,0,0,0,0,0,3.2,0.1,0,0,0,0,NA,20.9,83.2,26.4
"15","2024-01-06","Przekąski",206,1,0,0,0,0,0,0,0.4,6.8,0,0,0,0,NA,11.2,24.5,1.9
"16","2024-01-06","Śniadanie",449.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,25.6,53.3,26.4
"17","2024-01-07","Kolacja",765.6,1.9,0,0,0,0,314,0,10,12,0,0,0,2.6,NA,24.9,131.9,31.2
"18","2024-01-07","Obiad",650,0.6,0,0,0,0,0,0,8,3,0,0,2,25,NA,4.7,124,26
"19","2024-01-07","Przekąski",735.1,2.6,0,0,0,0,0,0,2.1,2.7,0,0,0,0,NA,40.5,74.5,16.2
"20","2024-01-07","Śniadanie",352.3,6.8,0,0,0,0,0,0,0,1.3,0,0,0,0,NA,22.2,53.8,9.1
"21","2024-01-08","Kolacja",1735.9,25,0,0,0,75,2850,0,5,10,0,0,50,50,NA,113.6,209,108.7
"22","2024-01-08","Obiad",770,0.6,0,0,0,0,0,0,9.5,3,0,0,2,25,NA,5,153.1,26
"23","2024-01-08","Przekąski",373.6,2.7,0,0,0,0,0,0,2.6,2.7,0,0,0,0,NA,20.3,40.2,7.8
"24","2024-01-08","Śniadanie",501.9,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,32.1,52.5,25.3
"25","2024-01-09","Obiad",338,0,0,0,0,0,0,0,2.1,0,0,0,0,0,NA,18.3,22.3,17.1
"26","2024-01-09","Przekąski",651,9.1,0.1,0,0,0,1.2,429.6,2.4,38.9,0.4,19.5,0.7,5.3,NA,28.3,83.6,15.3
"27","2024-01-09","Śniadanie",490.6,2.8,0,0,0,0,0,0,0,0,0,0,0,0,NA,35.9,35,23.2
