"","Data","Posiłek","Kalorie","Kwasy.tłuszczowe.nasycone","Tłuszcze.wielonienasycone","Tłuszcze.jednonienasycone","Tłuszcze.trans","Cholesterol","Sód..mg.","Potas","Błonnik","Cukier","Witamina.A","Witamina.C","Wapń","Żelazo","export_headers.note","Tluszcze..g.","Bialko..g.","Weglowodany..g."
"1","2024-01-10","Kolacja",242,0.4,0.2,0.1,0,0,2,974,7,34,4,40,2,4,NA,0.8,3,69
"2","2024-01-10","Obiad",1788,29.7,3.5,14.9,0.7,175.4,1880.9,1701.8,25.5,27.9,104.1,113.3,30.5,55.8,NA,37.2,76.6,201.2
"3","2024-01-10","Przekąski",177.5,0.7,2.1,1.3,0,7.8,167.4,91.5,4.3,8.2,0,0.4,1.1,25.9,NA,4.2,5.2,29.8
"4","2024-01-11","Obiad",1740,0,0,0,0,120,1000,0,18,0,0,0,0,0,NA,59.5,68.5,245.5
"5","2024-01-11","Śniadanie",1027,21.7,2.9,3.7,0,372,564.4,138,2,9.4,0,0,13.6,21.7,NA,64.7,56.8,50.9
"6","2024-01-12","Kolacja",121,0.2,0.1,0,0,0,1,487,3.5,17,2,20,1,2,NA,0.4,1.5,34.5
"7","2024-01-12","Obiad",1410.6,31.8,0,0,0,82.2,1087,0,8.6,47,0,0,0,0,NA,31.2,22.6,114.8
"8","2024-01-12","Przekąski",360,9,0,0,0,40,320,60,4,21,8,2,10,26,NA,15,10,47
"9","2024-01-12","Śniadanie",383,3.1,2.9,3.7,0,372,562,138,2,6.4,0,0,13.6,21.7,NA,12.5,20.6,46.7
"10","2024-01-13","Kolacja",487.5,3.7,10.5,6.3,0,39,436.8,157.3,1.4,40.9,0,2,5.7,9.4,NA,20.9,5.8,68.9
"11","2024-01-13","Obiad",886.8,0.1,0.1,0.1,0,0,0,53.9,15,0,0,0,0.6,2.1,NA,30.1,27.2,135.7
"12","2024-01-13","Śniadanie",650,0,0,0,0,120,1000,0,18,0,0,0,0,0,NA,32,36,70
"13","2024-01-14","Obiad",2090.2,18.8,3.5,14.9,0.7,313.2,2254.9,1701.8,36.6,65.6,154.1,113.3,34.5,55.8,NA,84.5,93.9,255.8
"14","2024-01-14","Śniadanie",383,3.1,2.9,3.7,0,372,562,138,2,6.4,0,0,13.6,21.7,NA,12.5,20.6,46.7
"15","2024-01-15","Kolacja",884,18.6,1,0,0,0,422.4,0,2,9,0,0,8,12,NA,55.2,44.2,50.2
"16","2024-01-15","Obiad",1080,0,0,0,0,120,1000,0,28,0,0,0,0,0,NA,51.8,51.2,125
"17","2024-01-15","Śniadanie",383,10.4,2.5,7.4,0,402.8,318.7,233.2,1.9,11.7,0,0.2,7.7,16.8,NA,22.5,16.8,28.9
"18","2024-01-16","Obiad",1946,14,0,0,0,120,1004,0,28,6,0,0,0,0,NA,62,88,280
"19","2024-01-16","Przekąski",686,7.9,7.7,6.1,0.8,7.5,122,974,8.8,64,4,40,2,4,NA,23.3,7.5,129
"20","2024-01-16","Śniadanie",633.5,10.9,2,1.8,0,186,492.2,69,2,7.7,0,0,10.8,16.9,NA,33.9,32.4,48.5
"21","2024-01-17","Obiad",855,12,0,0,0,0,974,0,8,42,0,0,0,0,NA,40.8,0,84.6
"22","2024-01-17","Przekąski",888,15,15,12,1.5,15,240,0,3.6,60,0,0,0,0,NA,45,9,120
"23","2024-01-17","Śniadanie",704,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20,31,45
"24","2024-01-18","Kolacja",596,9.5,5,4,0.5,55,310,60,6.2,42,25,0,2,24,NA,25,10,86
"25","2024-01-18","Obiad",1463.5,21.3,0.1,0.1,0,82.2,2351,27,13.8,30.6,0,0,0.3,1,NA,9.8,66.4,181
"26","2024-01-18","Śniadanie",150,0,0,0,0,0,240,45,1.5,3,30,37.5,0,75,NA,0,3,36
"27","2024-01-19","Kolacja",360,9,0,0,0,40,320,60,4,21,8,2,10,26,NA,15,10,47
"28","2024-01-19","Obiad",1197.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,NA,32.5,36.3,189.3
"29","2024-01-19","Przekąski",240,7.3,0.6,3.7,0,30.8,176.7,95.2,1.9,11.3,0,0.2,2.1,7.1,NA,13,4.2,28.2
"30","2024-01-19","Śniadanie",564,9.7,0.2,0,0,0,3.2,974,7,35.5,4,40,2,4,NA,26.9,21.1,71.1
"31","2024-01-20","Kolacja",383,3.1,2.9,3.7,0,372,562,138,2,6.4,0,0,13.6,21.7,NA,12.5,20.6,46.7
"32","2024-01-20","Obiad",825.8,1.5,0.1,0.1,0,0,1500,53.9,5.2,25.6,0,0,0.6,2.1,NA,5.6,46,136.4
"33","2024-01-20","Przekąski",43,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,2,1.5,5.5
"34","2024-01-20","Śniadanie",704,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,20,31,45
