full_date;date;weekday;time;mood;activities;note_title;note
2023-12-12;12 grudnia;poniedziałek;08:30;dobrze;szczęście | relaks | zadowolenie | ćwiczenie | śniadanie | nauka | projekt grupowy | słuchaj;;
2023-12-13;13 grudnia;wtorek;21:45;źle;złość | smutek | niepokój | filmy i tv | słodycze | sam | skup się;Wielkie obciążenie naukowe;
2023-12-14;14 grudnia;środa;14:20;tak sobie;zmęczenie | stres | smutek | spacer | witaminy | restauracja | słodycze | skup się;;
2023-12-15;15 grudnia;czwartek;22:00;dobrze;szczęście | relaks | zadowolenie | dobry sen | ćwiczenie | pij wodę | spacer | filmy i tv | słodycze | skup się;Przygotowania do egzaminów;
2023-12-16;16 grudnia;sobota;12:45;tak sobie;niepokój | stres | spacer | witaminy | restauracja | słodycze | skup się;;
2023-12-17;17 grudnia;niedziela;09:20;dobrze;szczęście | relaks | zadowolenie | dobry sen | ćwiczenie | pij wodę | spacer | filmy i tv | słodycze | skup się;;
2023-12-18;18 grudnia;poniedziałek;18:00;wspaniale;szczęście | relaks | zadowolenie | dobry sen | wieczór z przyjaciółmi | skup się | rozmawiaj;;
2023-12-19;19 grudnia;wtorek;21:30;źle;złość | smutek | niepokój | filmy i tv | słodycze | sam | skup się;;
2023-12-20;20 grudnia;środa;15:10;dobrze;szczęście | relaks | zadowolenie | śniadanie | zakupy | wieczór z drugą połówką | skup się | rozmawiaj;;
2023-12-21;21 grudnia;czwartek;22:45;tak sobie;zmęczenie | stres | smutek | spacer | witaminy | restauracja | słodycze | skup się;;
2023-12-22;22 grudnia;piątek;08:30;dobrze;szczęście | relaks | zadowolenie | dobry sen | ćwiczenie | nauka | projekt grupowy | słuchaj;;
2023-12-23;23 grudnia;sobota;16:20;wspaniale;szczęście | relaks | zadowolenie | dobry sen | wieczór z przyjaciółmi | skup się | rozmawiaj;;
2023-12-24;24 grudnia;niedziela;09:00;dobrze;święta | radość | relaks | zadowolenie | śniadanie | skup się | rozmawiaj;Świąteczne przygotowania;
2023-12-25;25 grudnia;poniedziałek;14:45;tak sobie;zmęczenie | stres | smutek | obiad | słodycze | skup się;;
2023-12-26;26 grudnia;wtorek;10:30;wspaniale;szczęście | relaks | zadowolenie | dobry sen | śniadanie | zakupy | wieczór z drugą połówką | skup się | rozmawiaj;;
2023-12-27;27 grudnia;środa;21:20;dobrze;szczęście | relaks | zadowolenie | dobry sen | ćwiczenie | pij wodę | spacer | filmy i tv | słodycze | skup się;;
2023-12-28;28 grudnia;czwartek;08:15;tak sobie;zmęczenie | stres | śniadanie | sam | skup się;;
2023-12-30;30 grudnia;sobota;12:10;wspaniale;szczęście | relaks | zadowolenie | dobry sen | śniadanie | zakupy | wieczór z drugą połówką | skup się | rozmawiaj;;
2023-12-31;31 grudnia;niedziela;23:55;dobrze;sylwester | radość | relaks | zadowolenie | święta | dobry sen | wieczór z przyjaciółmi | skup się | rozmawiaj;Sylwester!;
2024-01-01;1 stycznia;poniedziałek;10:05;tak sobie;zmęczenie | stres | śniadanie | słodycze | sam | skup się;;
2024-01-02;2 stycznia;wtorek;17:40;dobrze;szczęście | relaks | zadowolenie | dobry sen | ćwiczenie | pij wodę | spacer | filmy i tv | słodycze | skup się;;
2024-01-03;3 stycznia;środa;09:50;tak sobie;zmęczenie | stres | śniadanie | sam | skup się;;
2024-01-04;4 stycznia;czwartek;20:15;wspaniale;szczęście | relaks | zadowolenie | dobry sen | wieczór z drugą połówką | skup się | rozmawiaj;;
2024-01-05;5 stycznia;piątek;21:23;dobrze;szczęście | relaks | stres | spełnienie | obrzydzenie | dobry sen | ćwiczenie | zdrowe odżywianie się | witaminy | ból pleców | filmy i tv | sport | domowy | słodycze | przyjaciele | wieczór z drugą połówką | skup się | gotowanie | zajęcia | nauka | projekt grupowy | śnieg | zimno | słuchaj | rozmawiaj | dbaj o zdrowie;;
2024-01-07;7 stycznia;niedziela;14:00;dobrze;szczęście | relaks | zadowolenie | stres | zainteresowanie | dobry sen | zdrowe odżywianie się | pij wodę | spacer | witaminy | filmy i tv | domowy | wieczór z drugą połówką | skup się | sprzątanie | brak zajęć | wiatr | zimno | rozmawiaj;;
2024-01-07;7 stycznia;niedziela;23:59;źle;złość | smutek;;
2024-01-08;8 stycznia;poniedziałek;20:14;dobrze;szczęście | podniecenie | zadowolenie | stres | zainteresowanie | dobry sen | pij wodę | spacer | witaminy | filmy i tv | domowy | wieczór z drugą połówką | skup się | zakupy | mycie naczyń | brak zajęć | wiatr | zimno | masaż | pielęgnacja skóry;;
2024-01-09;9 stycznia;wtorek;12:58;dobrze;szczęście | zadowolenie | zmęczenie | stres | średni sen | pij wodę | spacer | witaminy | filmy i tv | domowy | słodycze | sam | skup się | gotowanie | mycie naczyń | śmieci | zajęcia | nauka | projekt grupowy | pochmurno | wiatr | zimno;;
2024-01-12;12 stycznia;piątek;19:10;wspaniale;szczęście | relaks | zadowolenie | dobry sen | wieczór z przyjaciółmi | skup się | rozmawiaj;;
2024-01-13;13 stycznia;sobota;10:15;dobrze;szczęście | relaks | zadowolenie | śniadanie | zakupy | wieczór z drugą połówką | skup się | rozmawiaj;Weekendowa radość;
2024-01-14;14 stycznia;niedziela;16:30;tak sobie;zmęczenie | stres | niepokój | słodycze | sam | skup się;Wizja nadchodzącego tygodnia;
2024-01-15;15 stycznia;poniedziałek;08:00;dobrze;szczęście | relaks | zadowolenie | dobry sen | ćwiczenie | nauka | projekt grupowy | słuchaj;Nowy tydzień, nowe wyzwania;
