Month,Year,Hour,Minute,Day,WeekDay,Type
Aug,2023,18,44,16,Wednesday,Video
Aug,2023,18,44,16,Wednesday,Video
Aug,2023,18,19,16,Wednesday,Video
Aug,2023,18,8,16,Wednesday,Video
Aug,2023,17,29,16,Wednesday,Video
Aug,2023,17,29,16,Wednesday,Video
Aug,2023,17,19,16,Wednesday,Video
Aug,2023,17,18,16,Wednesday,Video
Aug,2023,16,49,16,Wednesday,Video
Aug,2023,16,26,16,Wednesday,Video
Aug,2023,16,25,16,Wednesday,Video
Aug,2023,16,19,16,Wednesday,Video
Aug,2023,16,6,16,Wednesday,Video
Aug,2023,9,54,16,Wednesday,Video
Aug,2023,9,12,16,Wednesday,Video
Aug,2023,8,53,16,Wednesday,Video
Aug,2023,8,53,16,Wednesday,Video
Aug,2023,8,36,16,Wednesday,Video
Aug,2023,8,35,16,Wednesday,Video
Aug,2023,8,35,16,Wednesday,Video
Aug,2023,8,12,16,Wednesday,Video
Aug,2023,8,6,16,Wednesday,Video
Aug,2023,20,34,15,Tuesday,Video
Aug,2023,20,32,15,Tuesday,Video
Aug,2023,20,27,15,Tuesday,Video
Aug,2023,19,46,15,Tuesday,Video
Aug,2023,19,44,15,Tuesday,Video
Aug,2023,19,43,15,Tuesday,Video
Aug,2023,19,35,15,Tuesday,Video
Aug,2023,19,23,15,Tuesday,Video
Aug,2023,19,12,15,Tuesday,Video
Aug,2023,18,58,15,Tuesday,Video
Aug,2023,18,31,15,Tuesday,Video
Aug,2023,18,30,15,Tuesday,Video
Aug,2023,18,30,15,Tuesday,Video
Aug,2023,18,25,15,Tuesday,Video
Aug,2023,18,19,15,Tuesday,Video
Aug,2023,18,18,15,Tuesday,Video
Aug,2023,18,18,15,Tuesday,Video
Aug,2023,18,2,15,Tuesday,Video
Aug,2023,18,1,15,Tuesday,Video
Aug,2023,17,48,15,Tuesday,Video
Aug,2023,17,25,15,Tuesday,Video
Aug,2023,17,10,15,Tuesday,Video
Aug,2023,16,56,15,Tuesday,Video
Aug,2023,16,41,15,Tuesday,Video
Aug,2023,16,23,15,Tuesday,Video
Aug,2023,16,9,15,Tuesday,Video
Aug,2023,15,43,15,Tuesday,Video
Aug,2023,15,42,15,Tuesday,Video
Aug,2023,15,26,15,Tuesday,Video
Aug,2023,13,56,15,Tuesday,Video
Aug,2023,13,28,15,Tuesday,Video
Aug,2023,13,19,15,Tuesday,Video
Aug,2023,13,17,15,Tuesday,Video
Aug,2023,23,13,15,Tuesday,Video
Aug,2023,23,6,15,Tuesday,Video
Aug,2023,23,1,15,Tuesday,Video
Aug,2023,11,58,15,Tuesday,Video
Aug,2023,11,53,15,Tuesday,Video
Aug,2023,11,40,15,Tuesday,Video
Aug,2023,10,16,15,Tuesday,Video
Aug,2023,10,5,15,Tuesday,Video
Aug,2023,10,5,15,Tuesday,Video
Aug,2023,9,57,15,Tuesday,Video
Aug,2023,9,57,15,Tuesday,Video
Aug,2023,9,50,15,Tuesday,Video
Aug,2023,9,45,15,Tuesday,Video
Aug,2023,9,43,15,Tuesday,Video
Aug,2023,9,43,15,Tuesday,Video
Aug,2023,9,29,15,Tuesday,Video
Aug,2023,9,21,15,Tuesday,Video
Aug,2023,9,19,15,Tuesday,Video
Aug,2023,9,19,15,Tuesday,Video
Aug,2023,21,17,14,Monday,Video
Aug,2023,21,16,14,Monday,Video
Aug,2023,21,15,14,Monday,Video
Aug,2023,21,9,14,Monday,Video
Aug,2023,21,8,14,Monday,Video
Aug,2023,21,1,14,Monday,Video
Aug,2023,20,58,14,Monday,Video
Aug,2023,20,55,14,Monday,Video
Aug,2023,20,54,14,Monday,Video
Aug,2023,20,42,14,Monday,Video
Aug,2023,20,36,14,Monday,Video
Aug,2023,20,35,14,Monday,Video
Aug,2023,20,17,14,Monday,Video
Aug,2023,20,11,14,Monday,Video
Aug,2023,20,10,14,Monday,Video
Aug,2023,19,40,14,Monday,Video
Aug,2023,19,30,14,Monday,Video
Aug,2023,19,30,14,Monday,Video
Aug,2023,19,21,14,Monday,Video
Aug,2023,19,20,14,Monday,Video
Aug,2023,19,18,14,Monday,Video
Aug,2023,19,17,14,Monday,Video
Aug,2023,19,10,14,Monday,Video
Aug,2023,19,9,14,Monday,Video
Aug,2023,19,9,14,Monday,Video
Aug,2023,19,8,14,Monday,Video
Aug,2023,18,27,14,Monday,Video
Aug,2023,14,30,14,Monday,Video
Aug,2023,11,44,14,Monday,Video
Aug,2023,11,40,14,Monday,Video
Aug,2023,9,38,14,Monday,Video
Aug,2023,9,36,14,Monday,Video
Aug,2023,9,34,14,Monday,Video
Aug,2023,9,6,14,Monday,Video
Aug,2023,8,57,14,Monday,Video
Aug,2023,8,45,14,Monday,Video
Aug,2023,10,27,13,Sunday,Video
Aug,2023,9,53,13,Sunday,Video
Aug,2023,9,52,13,Sunday,Video
Aug,2023,9,40,13,Sunday,Video
Aug,2023,9,38,13,Sunday,Video
Aug,2023,9,33,13,Sunday,Video
Aug,2023,9,17,13,Sunday,Video
Aug,2023,9,12,13,Sunday,Video
Aug,2023,9,8,13,Sunday,Video
Aug,2023,8,52,13,Sunday,Video
Aug,2023,8,29,13,Sunday,Video
Aug,2023,8,29,13,Sunday,Video
Aug,2023,8,18,13,Sunday,Video
Aug,2023,21,52,12,Saturday,Video
Aug,2023,20,55,12,Saturday,Video
Aug,2023,20,25,12,Saturday,Video
Aug,2023,19,26,12,Saturday,Video
Aug,2023,18,47,12,Saturday,Video
Aug,2023,17,17,12,Saturday,Video
Aug,2023,16,50,12,Saturday,Video
Aug,2023,16,49,12,Saturday,Video
Aug,2023,16,36,12,Saturday,Video
Aug,2023,16,34,12,Saturday,Video
Aug,2023,15,59,12,Saturday,Video
Aug,2023,15,50,12,Saturday,Video
Aug,2023,15,49,12,Saturday,Video
Aug,2023,15,45,12,Saturday,Video
Aug,2023,15,43,12,Saturday,Video
Aug,2023,15,43,12,Saturday,Video
Aug,2023,15,38,12,Saturday,Video
Aug,2023,15,38,12,Saturday,Video
Aug,2023,15,38,12,Saturday,Video
Aug,2023,15,9,12,Saturday,Video
Aug,2023,15,8,12,Saturday,Video
Aug,2023,15,7,12,Saturday,Video
Aug,2023,14,38,12,Saturday,Video
Aug,2023,14,34,12,Saturday,Video
Aug,2023,14,30,12,Saturday,Video
Aug,2023,14,29,12,Saturday,Video
Aug,2023,14,28,12,Saturday,Video
Aug,2023,14,28,12,Saturday,Video
Aug,2023,22,43,11,Friday,Video
Aug,2023,22,41,11,Friday,Video
Aug,2023,22,40,11,Friday,Video
Aug,2023,22,36,11,Friday,Video
Aug,2023,21,57,11,Friday,Video
Aug,2023,21,43,11,Friday,Video
Aug,2023,21,27,11,Friday,Video
Aug,2023,19,46,11,Friday,Video
Aug,2023,19,22,11,Friday,Video
Aug,2023,19,51,10,Thursday,Video
Aug,2023,19,49,10,Thursday,Video
Aug,2023,19,48,10,Thursday,Video
Aug,2023,19,27,10,Thursday,Video
Aug,2023,19,27,10,Thursday,Video
Aug,2023,18,34,10,Thursday,Video
Aug,2023,18,22,10,Thursday,Video
Aug,2023,18,21,10,Thursday,Video
Aug,2023,18,14,10,Thursday,Video
Aug,2023,17,34,10,Thursday,Video
Aug,2023,16,38,10,Thursday,Video
Aug,2023,16,37,10,Thursday,Video
Aug,2023,16,30,10,Thursday,Video
Aug,2023,16,29,10,Thursday,Video
Aug,2023,16,29,10,Thursday,Video
Aug,2023,16,29,10,Thursday,Video
Aug,2023,16,28,10,Thursday,Video
Aug,2023,16,27,10,Thursday,Video
Aug,2023,16,19,10,Thursday,Video
Aug,2023,16,7,10,Thursday,Video
Aug,2023,16,6,10,Thursday,Video
Aug,2023,15,55,10,Thursday,Video
Aug,2023,15,18,10,Thursday,Video
Aug,2023,14,46,10,Thursday,Video
Aug,2023,14,19,10,Thursday,Video
Aug,2023,14,19,10,Thursday,Video
Aug,2023,14,11,10,Thursday,Video
Aug,2023,14,8,10,Thursday,Video
Aug,2023,14,5,10,Thursday,Video
Aug,2023,14,5,10,Thursday,Video
Aug,2023,16,44,9,Wednesday,Video
Aug,2023,16,41,9,Wednesday,Video
Aug,2023,16,40,9,Wednesday,Video
Aug,2023,13,49,9,Wednesday,Video
Aug,2023,13,30,9,Wednesday,Video
Aug,2023,13,27,9,Wednesday,Video
Aug,2023,18,8,8,Tuesday,Video
Aug,2023,18,8,8,Tuesday,Video
Aug,2023,17,57,8,Tuesday,Video
Dec,2023,22,56,31,Sunday,Video
Dec,2023,22,52,31,Sunday,Video
Dec,2023,22,46,31,Sunday,Video
Dec,2023,22,43,31,Sunday,Video
Dec,2023,22,40,31,Sunday,Video
Dec,2023,22,38,31,Sunday,Video
Dec,2023,22,28,31,Sunday,Video
Dec,2023,22,24,31,Sunday,Video
Dec,2023,22,23,31,Sunday,Video
Dec,2023,22,23,31,Sunday,Video
Dec,2023,22,20,31,Sunday,Video
Dec,2023,20,23,31,Sunday,Video
Dec,2023,20,21,31,Sunday,Video
Dec,2023,20,19,31,Sunday,Video
Dec,2023,20,6,31,Sunday,Video
Dec,2023,19,50,31,Sunday,Video
Dec,2023,19,49,31,Sunday,Video
Dec,2023,19,46,31,Sunday,Video
Dec,2023,19,45,31,Sunday,Video
Dec,2023,19,45,31,Sunday,Video
Dec,2023,19,43,31,Sunday,Video
Dec,2023,19,42,31,Sunday,Video
Dec,2023,19,38,31,Sunday,Video
Dec,2023,19,35,31,Sunday,Video
Dec,2023,19,34,31,Sunday,Video
Dec,2023,19,33,31,Sunday,Video
